aoi_name,screen_x_min,screen_y_min,screen_x_max,screen_y_max,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min_std,screen_y_min_std,video_file,trait,level
chin,760.5,513.6,1154.4,793.1,480.4,338.9,795.5,562.5,12.3,8.0,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
forehead,759.6,334.4,1158.2,674.5,479.7,195.5,798.5,467.6,12.0,9.1,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
left_cheek,777.4,516.1,896.6,673.3,493.9,340.9,589.3,466.6,10.2,9.7,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
left_eye,802.2,402.6,931.6,502.1,513.8,250.1,617.3,329.7,11.1,11.3,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
mouth,871.1,639.8,1029.2,726.6,568.8,439.9,695.3,509.3,13.9,12.1,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
nose,901.6,470.3,1008.6,623.8,593.3,304.2,678.9,427.0,14.1,10.0,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
right_cheek,1016.7,532.0,1137.3,686.3,685.4,353.6,781.8,477.0,12.3,8.8,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
right_eye,993.3,410.4,1120.6,508.1,666.6,256.3,768.5,334.5,14.6,12.0,agreeableness_high1_l3RE0rN7oEg.003.mp4,agreeableness,high
chin,774.4,520.9,1161.0,823.7,491.5,344.8,800.8,587.0,47.1,15.9,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
forehead,761.0,340.4,1161.8,696.5,480.8,200.3,801.5,485.2,38.6,15.9,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
left_cheek,783.2,545.4,894.9,708.3,498.6,364.3,587.9,494.6,25.8,14.1,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
left_eye,790.2,424.9,915.2,521.0,504.2,267.9,604.2,344.8,26.4,16.3,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
mouth,893.2,659.2,1041.8,756.7,586.6,455.4,705.4,533.4,24.0,23.5,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
nose,897.8,478.9,1011.0,631.1,590.3,311.1,680.8,432.8,33.3,17.9,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
right_cheek,1013.6,521.5,1138.7,689.9,682.9,345.2,783.0,479.9,27.8,18.2,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
right_eye,974.8,406.6,1108.9,506.3,651.9,253.3,759.1,333.1,35.6,21.9,agreeableness_high2_KGRUaRe3r7I.001.mp4,agreeableness,high
chin,778.1,507.3,1170.7,819.8,494.5,333.9,808.6,583.8,15.9,11.0,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
forehead,774.7,333.6,1174.6,679.0,491.7,194.9,811.7,471.2,14.8,9.0,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
left_cheek,784.6,517.7,895.7,687.9,499.7,342.2,588.6,478.3,10.3,11.8,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
left_eye,800.9,409.8,925.8,503.9,512.7,255.8,612.7,331.1,14.3,12.1,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
mouth,875.0,673.1,1029.3,751.6,572.0,466.5,695.4,529.3,11.8,12.8,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
nose,893.2,479.0,1008.0,641.3,586.6,311.2,678.4,441.0,14.9,10.0,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
right_cheek,1017.1,538.4,1147.5,705.2,685.7,358.7,790.0,492.1,13.7,12.7,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
right_eye,993.6,423.2,1133.3,512.5,666.8,266.6,778.6,338.0,18.2,11.9,agreeableness_high3_MvWDky9ZaWU.000.mp4,agreeableness,high
chin,770.0,524.7,1162.6,813.1,488.0,347.7,802.1,578.5,9.4,13.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
forehead,768.6,338.4,1164.6,694.6,486.9,198.7,803.6,483.7,7.7,6.1,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
left_cheek,779.8,522.3,893.1,684.4,495.8,345.9,586.5,475.5,5.1,8.7,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
left_eye,800.2,413.8,924.9,505.1,512.2,259.0,611.9,332.0,4.6,9.3,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
mouth,862.5,646.3,1034.3,734.7,562.0,445.1,699.5,515.8,9.2,9.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
nose,892.7,477.1,1004.6,628.3,586.1,309.7,675.6,430.6,7.5,6.3,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
right_cheek,1013.8,538.4,1139.7,701.1,683.1,358.7,783.7,488.9,5.8,9.6,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
