frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
9,300,left_eye,473.3,212.5,531.2,281.1,751.6,355.6,824.0,441.4,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,right_eye,568.1,219.3,698.6,296.6,870.1,364.2,1033.3,460.8,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,nose,477.8,262.5,555.8,371.5,757.2,418.2,854.7,554.4,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,mouth,465.7,392.0,561.3,444.9,742.1,580.1,861.6,646.1,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,forehead,469.3,167.0,783.3,464.8,746.6,298.8,1139.1,671.0,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,chin,457.0,306.5,783.3,522.7,731.2,473.2,1139.1,743.3,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,left_cheek,450.4,298.9,503.2,421.2,723.0,463.7,789.0,616.5,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
9,300,right_cheek,582.4,319.3,714.5,454.1,888.0,489.2,1053.1,657.7,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,left_eye,475.6,212.3,530.9,288.0,754.6,355.4,823.6,450.0,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,right_eye,569.1,210.5,706.3,295.7,871.4,353.1,1042.9,459.7,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,nose,478.4,262.2,557.5,375.6,758.0,417.8,856.9,559.5,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,mouth,469.2,403.1,574.5,465.7,746.5,593.9,878.2,672.1,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,forehead,486.4,166.6,798.8,455.9,768.0,298.2,1158.5,659.8,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,chin,466.4,316.7,798.8,546.7,743.0,485.9,1158.5,773.4,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,left_cheek,454.3,307.6,503.1,434.3,727.9,474.5,788.8,632.9,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
10,333,right_cheek,584.7,318.3,725.6,455.5,890.9,487.9,1067.0,659.4,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
11,367,left_eye,478.2,212.3,529.8,293.9,757.7,355.3,822.2,457.4,-fXqnCljdm0.003.mp4,1280,720,29.97,459,extraversion,low
