frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,501.3,266.2,604.8,341.7,786.7,422.8,916.1,517.2,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,right_eye,663.2,268.0,768.8,344.0,989.0,425.0,1121.0,520.1,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,nose,594.7,313.2,681.3,429.7,903.4,481.4,1011.6,627.1,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,mouth,567.8,449.1,706.9,518.8,869.7,651.4,1043.7,738.6,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,forehead,475.7,210.1,795.1,471.2,754.6,352.6,1153.9,679.0,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,chin,477.3,354.9,794.7,575.6,756.7,533.6,1153.3,809.4,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,left_cheek,490.3,354.3,586.8,482.5,772.8,532.9,893.5,693.1,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
0,0,right_cheek,685.4,358.1,780.8,485.8,1016.7,537.6,1136.0,697.2,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
1,40,left_eye,501.3,264.3,605.0,340.9,786.7,420.4,916.2,516.2,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
1,40,right_eye,663.4,268.0,774.4,343.9,989.2,425.0,1128.0,519.9,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
1,40,nose,594.1,312.5,680.5,429.6,902.6,480.6,1010.6,627.0,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
1,40,mouth,568.1,449.1,706.0,533.1,870.2,651.4,1042.4,756.4,1RMdiCbNNh4.003.mp4,1280,720,25.0,383,agreeableness,low
