frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,518.2,241.9,634.3,323.8,807.8,392.3,952.9,494.7,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,right_eye,689.9,268.8,794.4,346.9,1022.4,426.0,1153.0,523.6,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,nose,600.7,304.0,695.6,421.5,910.9,470.0,1029.6,616.9,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,mouth,566.2,441.2,705.9,488.1,867.8,641.5,1042.4,700.2,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,forehead,464.7,190.9,811.4,510.9,740.8,328.7,1174.2,728.6,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,chin,464.7,344.3,802.0,571.7,740.8,520.4,1162.5,804.6,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,left_cheek,486.3,335.0,597.2,467.5,767.9,508.8,906.6,674.3,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
0,0,right_cheek,701.7,369.1,796.5,501.2,1037.1,551.4,1155.6,716.5,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
1,33,left_eye,518.2,240.6,633.6,322.8,807.7,390.7,952.1,493.5,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
1,33,right_eye,690.1,268.8,794.2,346.8,1022.6,426.0,1152.8,523.5,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
1,33,nose,599.9,302.6,695.7,420.9,909.9,468.3,1029.6,616.1,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
1,33,mouth,566.2,441.3,705.6,488.7,867.7,641.6,1042.0,700.9,2DZb5yIc6Fg.003.mp4,1280,720,29.97,459,openness,low
