frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,493.3,270.4,588.1,345.7,776.7,428.0,895.2,522.1,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,right_eye,641.0,245.4,758.8,328.4,961.3,396.8,1108.5,500.5,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,nose,587.6,314.1,679.2,437.0,894.5,482.6,1008.9,636.2,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,mouth,591.3,444.3,713.3,517.9,899.1,645.4,1051.7,737.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,forehead,489.1,191.3,808.9,465.5,771.4,329.1,1171.1,671.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,chin,505.5,314.5,808.9,567.5,791.8,483.2,1171.1,799.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,left_cheek,500.0,364.4,582.2,485.8,785.0,545.5,887.8,697.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
0,0,right_cheek,682.0,325.5,789.3,460.7,1012.5,496.9,1146.7,665.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,left_eye,493.2,272.6,588.4,345.9,776.5,430.7,895.5,522.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,right_eye,640.9,246.8,759.5,329.6,961.1,398.5,1109.3,502.0,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,nose,587.6,314.5,677.9,437.4,894.5,483.1,1007.4,636.8,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,mouth,590.1,446.5,713.4,521.9,897.6,648.2,1051.8,742.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,forehead,488.6,191.6,809.9,466.7,770.7,329.6,1172.3,673.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,chin,504.5,315.5,809.9,570.1,790.6,484.4,1172.3,802.6,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,left_cheek,499.0,365.3,581.8,487.5,783.8,546.6,887.3,699.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
1,41,right_cheek,681.9,327.0,789.6,463.0,1012.4,498.7,1147.0,668.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,left_eye,493.2,275.7,588.8,348.3,776.5,434.7,896.0,525.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,right_eye,640.4,250.0,760.1,333.0,960.5,402.5,1110.1,506.2,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,nose,587.4,317.4,675.8,441.4,894.2,486.7,1004.8,641.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,mouth,590.1,453.6,712.2,524.7,897.6,657.1,1050.3,745.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,forehead,488.6,193.2,811.7,469.7,770.7,331.5,1174.7,677.1,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,chin,504.1,318.3,811.7,574.4,790.1,487.9,1174.7,808.0,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,left_cheek,498.6,368.1,581.6,491.8,783.3,550.2,887.0,704.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
2,83,right_cheek,681.6,331.1,789.9,469.0,1012.0,503.8,1147.4,676.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,left_eye,492.8,278.6,588.7,351.9,776.0,438.3,895.9,529.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,right_eye,639.9,253.2,760.6,336.7,959.9,406.5,1110.7,510.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,nose,586.8,321.2,673.2,446.6,893.5,491.4,1001.5,648.2,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,mouth,589.8,460.5,708.4,524.3,897.3,665.6,1045.5,745.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,forehead,488.4,195.6,813.3,472.1,770.5,334.5,1176.6,680.2,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,chin,502.7,321.7,813.3,576.8,788.4,492.2,1176.6,811.1,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,left_cheek,497.2,370.7,580.7,495.5,781.6,553.4,885.9,709.4,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
3,125,right_cheek,680.6,335.5,789.9,474.8,1010.8,509.4,1147.4,683.5,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,left_eye,492.7,281.5,588.7,355.1,775.9,441.8,895.9,533.8,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,right_eye,639.9,256.6,761.4,340.4,959.9,410.7,1111.7,515.5,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,nose,586.8,325.1,672.6,451.7,893.5,496.3,1000.8,654.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,mouth,590.0,467.7,706.7,528.5,897.4,674.6,1043.3,750.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,forehead,488.4,198.6,814.3,475.0,770.5,338.3,1177.9,683.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,chin,501.8,325.7,814.3,579.8,787.3,497.1,1177.9,814.7,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,left_cheek,496.8,373.6,580.7,499.3,780.9,557.0,885.9,714.1,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
4,166,right_cheek,680.4,340.2,790.0,480.4,1010.5,515.3,1147.5,690.5,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
5,208,left_eye,492.7,284.2,588.9,357.6,775.9,445.2,896.1,537.0,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
5,208,right_eye,640.1,260.1,762.1,343.7,960.1,415.2,1112.6,519.6,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
5,208,nose,587.0,328.5,672.7,455.5,893.8,500.6,1000.9,659.3,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
5,208,mouth,591.1,472.4,706.0,534.3,898.9,680.5,1042.5,757.9,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
5,208,forehead,488.3,201.3,815.3,476.0,770.4,341.7,1179.1,685.0,3S8QUGYVf_w.003.mp4,1280,720,24.0,367,openness,high
