frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,507.7,267.6,614.1,342.0,794.6,424.5,927.6,517.5,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_eye,673.2,264.5,791.3,339.7,1001.6,420.6,1149.1,514.6,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,nose,587.5,309.8,691.7,427.9,894.3,477.3,1024.6,624.9,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,mouth,568.1,452.2,713.2,517.4,870.1,655.2,1051.5,736.7,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,forehead,490.6,208.1,825.2,495.5,773.2,350.1,1191.5,709.3,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,chin,490.6,376.0,825.2,584.2,773.2,560.0,1191.5,820.3,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,left_cheek,496.0,362.2,588.3,490.8,780.1,542.8,895.4,703.5,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_cheek,697.9,362.8,805.0,494.6,1032.3,543.5,1166.2,708.2,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_eye,508.0,267.3,613.9,341.9,795.0,424.1,927.4,517.4,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,right_eye,673.2,264.4,791.2,339.3,1001.4,420.5,1148.9,514.2,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,nose,587.3,309.6,691.4,427.6,894.2,476.9,1024.2,624.5,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,mouth,568.1,451.5,712.9,517.4,870.1,654.4,1051.1,736.7,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,forehead,491.4,206.0,825.3,495.5,774.3,347.5,1191.7,709.3,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,chin,491.4,375.1,825.3,584.4,774.3,558.9,1191.7,820.5,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_cheek,496.2,362.0,588.3,490.5,780.2,542.5,895.3,703.2,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,right_cheek,697.8,362.7,805.2,494.6,1032.3,543.4,1166.5,708.3,3ccY8jYkI5o.004.mp4,1280,720,23.976,367,emotional_stability,low
