frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,506.0,248.9,624.6,336.8,792.4,401.1,940.7,511.0,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,right_eye,683.4,266.0,784.1,344.2,1014.3,422.5,1140.2,520.2,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,nose,602.4,314.8,699.6,444.7,913.1,483.5,1034.5,645.8,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,mouth,579.4,465.6,696.3,510.7,884.3,672.0,1030.4,728.4,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,forehead,467.1,197.3,791.3,453.2,743.9,336.6,1149.1,656.5,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,chin,467.1,326.4,780.3,564.9,743.9,498.0,1135.3,796.1,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,left_cheek,491.4,340.3,598.3,471.2,774.2,515.3,907.9,679.0,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
0,0,right_cheek,698.3,355.7,782.5,479.9,1032.8,534.7,1138.1,689.9,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,left_eye,506.3,248.9,624.8,336.4,792.9,401.1,941.0,510.5,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,right_eye,683.5,265.6,784.2,344.1,1014.4,422.0,1140.2,520.1,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,nose,602.2,314.4,699.6,444.2,912.8,483.0,1034.5,645.2,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,mouth,579.2,465.7,696.4,510.7,884.0,672.1,1030.4,728.4,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,forehead,468.5,196.7,791.6,452.9,745.7,335.9,1149.5,656.2,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,chin,468.5,326.4,779.9,564.4,745.7,498.0,1134.8,795.4,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,left_cheek,491.9,340.2,598.3,471.1,774.9,515.3,907.9,678.9,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
1,33,right_cheek,698.3,355.2,782.3,479.5,1032.9,534.0,1137.8,689.4,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
2,66,left_eye,506.4,248.8,624.8,336.3,793.0,401.0,941.0,510.4,69BopbFc34U.000.mp4,1280,720,29.97,459,emotional_stability,high
