frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,537.1,235.9,642.2,325.2,831.3,384.9,962.7,496.5,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,right_eye,670.3,275.3,758.7,353.1,997.9,434.1,1108.4,531.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,nose,605.4,308.6,678.1,411.6,916.8,475.8,1007.6,604.4,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,mouth,566.9,407.2,676.0,478.2,868.6,599.0,1005.0,687.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,forehead,480.4,199.5,760.5,460.0,760.5,339.4,1110.7,665.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,chin,480.4,312.3,734.1,540.0,760.5,480.4,1077.6,765.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,left_cheek,500.4,316.8,601.5,437.2,785.4,486.0,911.9,636.5,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
0,0,right_cheek,681.2,364.3,744.4,469.8,1011.5,545.4,1090.5,677.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,left_eye,538.5,236.0,642.8,325.2,833.1,385.0,963.5,496.5,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,right_eye,670.3,276.0,758.0,353.8,997.9,434.9,1107.5,532.2,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,nose,605.0,308.6,677.6,411.4,916.2,475.8,1007.1,604.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,mouth,566.6,407.0,676.0,478.2,868.3,598.7,1005.0,687.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,forehead,479.4,198.3,759.6,460.0,759.3,337.8,1109.5,665.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,chin,479.4,311.3,733.8,541.1,759.3,479.1,1077.2,766.4,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,left_cheek,500.1,316.3,601.5,437.0,785.1,485.4,911.8,636.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
1,33,right_cheek,681.1,364.3,744.1,469.9,1011.4,545.4,1090.2,677.4,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,left_eye,535.3,237.0,641.0,326.6,829.1,386.2,961.2,498.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,right_eye,668.6,277.5,754.7,355.7,995.8,436.8,1103.3,534.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,nose,602.3,309.5,675.8,412.7,912.9,476.8,1004.7,605.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,mouth,563.1,408.1,675.4,479.1,863.9,600.1,1004.3,688.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,forehead,476.2,198.3,755.3,460.0,755.3,337.9,1104.2,665.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,chin,476.2,311.7,729.8,544.4,755.3,479.6,1072.3,770.5,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,left_cheek,497.3,317.3,598.8,438.5,781.6,486.6,908.5,638.1,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
2,66,right_cheek,679.4,365.3,741.0,471.0,1009.3,546.6,1086.3,678.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,left_eye,533.0,239.2,638.7,329.3,826.2,389.1,958.4,501.6,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,right_eye,665.5,279.6,750.6,357.6,991.9,439.4,1098.3,537.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,nose,599.9,312.0,673.1,416.1,909.9,480.0,1001.4,610.1,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,mouth,562.2,410.8,673.2,481.7,862.8,603.5,1001.5,692.1,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,forehead,474.3,199.5,751.1,460.0,752.8,339.4,1098.8,665.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,chin,474.3,313.5,725.2,547.4,752.8,481.9,1066.5,774.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,left_cheek,495.1,319.9,596.4,441.5,778.9,489.9,905.5,641.8,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
3,100,right_cheek,676.7,367.0,737.3,472.2,1005.9,548.8,1081.6,680.2,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,left_eye,531.3,240.2,636.4,331.1,824.2,390.2,955.4,503.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,right_eye,663.2,279.7,748.8,358.2,989.0,439.6,1095.9,537.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,nose,598.7,313.6,671.5,417.6,908.4,482.0,999.3,612.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,mouth,562.1,412.2,670.8,483.9,862.6,605.3,998.5,694.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,forehead,472.4,200.5,748.9,460.0,750.5,340.6,1096.1,665.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,chin,472.4,314.1,725.3,549.2,750.5,482.6,1066.6,776.5,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,left_cheek,493.5,321.3,595.1,443.1,776.8,491.6,903.9,643.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
4,133,right_cheek,675.0,367.7,736.4,473.1,1003.7,549.6,1080.5,681.4,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,left_eye,529.5,240.1,634.5,331.2,821.9,390.1,953.1,504.0,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,right_eye,662.4,279.4,748.1,357.8,987.9,439.3,1095.1,537.3,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,nose,597.4,313.6,670.4,418.2,906.8,482.0,998.0,612.7,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,mouth,561.5,414.7,668.8,486.5,861.8,608.3,995.9,698.2,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,forehead,471.5,200.4,748.7,459.2,749.4,340.5,1095.9,663.9,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,chin,471.5,314.0,725.7,551.1,749.4,482.5,1067.2,778.8,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,left_cheek,492.7,321.8,593.7,444.9,775.9,492.3,902.2,646.1,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
5,166,right_cheek,673.9,367.6,736.3,473.8,1002.4,549.5,1080.4,682.2,7UQt8QB3cQY.004.mp4,1280,720,29.97,459,agreeableness,low
