frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,516.9,266.1,611.3,338.4,806.1,422.6,924.1,512.9,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,right_eye,664.3,247.8,794.3,324.9,990.3,399.8,1152.8,496.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,nose,583.3,302.0,682.4,421.1,889.1,467.4,1013.0,616.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,mouth,574.5,438.6,736.6,516.9,878.1,638.2,1080.7,736.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,forehead,513.7,191.1,849.1,497.3,802.2,328.9,1221.4,711.6,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,chin,520.1,357.3,849.1,583.3,810.1,536.7,1221.4,819.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,left_cheek,506.0,358.5,586.9,492.1,792.5,538.1,893.6,705.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
0,0,right_cheek,696.1,342.4,816.6,480.8,1030.1,518.1,1180.7,691.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,left_eye,516.4,266.6,611.1,339.2,805.5,423.2,923.9,514.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,right_eye,663.0,248.1,794.3,324.9,988.8,400.2,1152.9,496.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,nose,582.2,301.7,682.6,421.1,887.7,467.2,1013.2,616.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,mouth,574.5,438.6,737.5,518.2,878.1,638.2,1081.9,737.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,forehead,511.5,188.0,855.9,497.6,799.4,325.0,1229.9,712.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,chin,518.2,357.6,855.9,587.4,807.7,537.0,1229.9,824.2,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,left_cheek,504.2,358.6,586.3,492.2,790.2,538.3,892.9,705.2,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
1,41,right_cheek,696.2,342.4,821.1,481.4,1030.2,518.1,1186.4,691.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,left_eye,509.9,267.3,606.2,340.3,797.4,424.1,917.8,515.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,right_eye,655.6,248.7,787.5,325.4,979.4,400.8,1144.4,496.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,nose,579.2,301.7,677.9,421.5,884.0,467.2,1007.4,616.8,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,mouth,571.6,438.6,732.3,519.2,874.5,638.2,1075.3,739.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,forehead,505.3,187.9,853.3,498.7,791.6,324.9,1226.6,713.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,chin,512.0,357.6,853.3,587.6,800.0,537.0,1226.6,824.5,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,left_cheek,498.8,359.5,581.8,493.3,783.5,539.4,887.2,706.6,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
2,83,right_cheek,691.4,342.5,818.1,481.8,1024.3,518.1,1182.6,692.2,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,left_eye,506.4,268.3,602.5,341.8,793.0,425.3,913.1,517.3,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,right_eye,651.3,249.3,783.5,325.7,974.1,401.6,1139.4,497.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,nose,576.5,302.5,674.6,423.2,880.6,468.1,1003.2,619.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,mouth,571.5,441.9,720.5,519.1,874.3,642.4,1060.6,738.9,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,forehead,501.7,188.1,850.5,501.4,787.2,325.1,1223.1,716.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,chin,508.7,357.4,850.5,588.9,795.9,536.8,1223.1,826.2,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,left_cheek,495.6,362.0,578.6,496.9,779.5,542.5,883.2,711.1,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
3,125,right_cheek,688.0,343.1,814.5,483.0,1020.0,518.9,1178.1,693.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,left_eye,504.5,269.7,600.1,343.0,790.6,427.1,910.1,518.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,right_eye,648.5,250.6,781.3,326.4,970.7,403.3,1136.6,498.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,nose,574.7,303.8,671.6,426.3,878.3,469.8,999.5,622.9,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,mouth,568.9,446.6,711.6,509.8,871.2,648.3,1049.5,727.3,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,forehead,500.4,188.3,848.3,502.2,785.6,325.3,1220.4,717.8,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,chin,506.8,357.1,848.3,586.7,793.5,536.3,1220.4,823.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,left_cheek,495.0,364.8,577.0,498.7,778.7,546.1,881.3,713.3,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
4,166,right_cheek,685.8,345.1,810.8,483.9,1017.2,521.3,1173.6,694.9,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
5,208,left_eye,505.4,271.7,600.9,344.6,791.7,429.6,911.1,520.7,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
5,208,right_eye,649.5,252.5,781.8,327.5,971.9,405.7,1137.2,499.4,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
5,208,nose,575.4,305.3,671.6,428.8,879.3,471.7,999.5,626.0,84emxO86qa8.005.mp4,1280,720,23.976,367,extraversion,high
