frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,502.4,253.2,600.1,345.2,788.0,406.5,910.2,521.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,right_eye,668.6,252.1,788.5,349.1,995.7,405.1,1145.7,526.4,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,nose,574.1,312.1,683.6,430.0,877.7,480.1,1014.5,627.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,mouth,551.7,461.7,708.3,544.5,849.7,667.1,1045.4,770.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,forehead,494.1,213.3,821.4,496.9,777.6,356.6,1186.7,711.2,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,chin,495.5,372.2,821.4,594.5,779.3,555.3,1186.7,833.1,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,left_cheek,491.3,363.7,576.3,493.3,774.1,544.6,880.4,706.7,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
0,0,right_cheek,692.7,370.6,801.6,503.1,1025.9,553.2,1162.0,718.8,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,left_eye,503.0,249.4,600.6,344.8,788.7,401.8,910.8,521.0,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,right_eye,668.5,242.7,789.0,347.8,995.6,393.4,1146.2,524.8,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,nose,573.7,306.6,683.2,429.1,877.2,473.2,1014.0,626.4,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,mouth,554.1,461.4,708.1,546.2,852.7,666.7,1045.2,772.7,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,forehead,494.1,196.4,821.9,500.9,777.6,335.5,1187.4,716.1,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,chin,495.4,373.1,821.8,600.9,779.3,556.3,1187.3,841.1,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,left_cheek,491.2,363.2,576.1,494.9,774.0,544.0,880.1,708.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
1,40,right_cheek,692.7,369.0,801.7,504.3,1025.9,551.2,1162.2,720.4,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,left_eye,503.0,247.5,600.7,344.1,788.8,399.4,910.9,520.2,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,right_eye,667.9,240.1,789.1,345.9,994.8,390.1,1146.4,522.3,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,nose,573.5,304.0,682.5,428.9,876.9,470.0,1013.2,626.1,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,mouth,555.3,461.1,708.1,550.6,854.1,666.4,1045.1,778.3,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,forehead,493.5,190.9,823.1,502.0,776.8,328.6,1188.8,717.5,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,chin,495.1,373.8,822.5,608.6,778.9,557.2,1188.1,850.8,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,left_cheek,491.0,362.9,575.8,497.2,773.8,543.7,879.7,711.4,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
2,80,right_cheek,692.6,366.9,801.8,504.8,1025.8,548.6,1162.3,721.0,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,left_eye,503.0,246.5,600.8,343.7,788.8,398.2,911.0,519.7,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,right_eye,667.7,239.3,789.2,345.3,994.6,389.1,1146.5,521.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,nose,572.8,303.1,682.5,428.7,876.0,468.9,1013.2,625.9,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,mouth,555.2,460.6,708.1,553.3,853.9,665.7,1045.1,781.6,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,forehead,493.5,190.5,823.7,501.8,776.8,328.2,1189.6,717.2,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,chin,495.2,373.7,823.0,609.0,778.9,557.2,1188.8,851.3,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,left_cheek,490.7,362.4,575.4,497.3,773.4,543.0,879.2,711.7,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
3,120,right_cheek,692.6,366.0,802.0,504.9,1025.8,547.5,1162.5,721.2,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
4,160,left_eye,503.0,246.1,600.8,343.6,788.7,397.6,911.0,519.5,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
4,160,right_eye,667.2,238.9,789.2,344.8,994.0,388.6,1146.5,521.1,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
4,160,nose,572.5,302.7,682.2,428.6,875.6,468.3,1012.8,625.8,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
4,160,mouth,555.1,460.3,708.0,554.4,853.9,665.4,1045.0,782.9,8hW6WfYBP18.001.mp4,1280,720,25.0,383,extraversion,low
