frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,501.0,255.7,605.5,342.4,786.2,409.6,916.9,517.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,right_eye,660.6,243.6,764.3,331.5,985.7,394.4,1115.4,504.3,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,nose,603.3,306.1,686.4,430.4,914.1,472.6,1018.0,628.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,mouth,596.8,449.5,705.1,503.2,906.0,651.8,1041.4,718.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,forehead,481.6,194.9,793.3,469.0,762.0,333.6,1151.6,676.2,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,chin,487.6,332.0,793.3,561.0,769.5,505.1,1151.6,791.2,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,left_cheek,498.9,361.6,592.9,482.8,783.7,542.0,901.1,693.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
0,0,right_cheek,689.7,337.0,781.3,465.8,1022.1,511.3,1136.6,672.3,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,left_eye,502.4,256.1,607.7,342.3,787.9,410.1,919.7,517.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,right_eye,663.3,243.6,767.0,331.1,989.1,394.4,1118.8,503.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,nose,604.5,306.0,688.1,430.1,915.7,472.5,1020.1,627.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,mouth,596.6,448.2,707.9,503.6,905.7,650.3,1044.9,719.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,forehead,482.2,194.8,794.6,468.3,762.8,333.5,1153.3,675.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,chin,487.9,332.1,794.6,559.8,769.9,505.1,1153.3,789.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,left_cheek,499.1,361.5,593.8,482.2,783.9,541.8,902.3,692.8,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
1,40,right_cheek,691.9,337.0,783.8,465.3,1024.8,511.2,1139.7,671.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,left_eye,504.1,256.1,611.0,342.3,790.1,410.1,923.8,517.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,right_eye,668.7,243.7,773.1,331.3,995.9,394.6,1126.4,504.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,nose,606.7,306.1,690.7,431.1,918.3,472.6,1023.4,628.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,mouth,596.6,448.2,710.6,506.9,905.7,650.3,1048.3,723.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,forehead,483.0,194.0,799.3,467.6,763.7,332.5,1159.1,674.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,chin,488.3,332.3,799.3,560.8,770.4,505.3,1159.1,791.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,left_cheek,499.8,360.7,595.9,482.2,784.8,540.9,904.9,692.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
2,80,right_cheek,695.4,337.4,788.4,466.1,1029.3,511.7,1145.5,672.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,left_eye,504.2,255.6,611.4,342.3,790.2,409.5,924.2,517.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,right_eye,671.4,245.5,778.5,333.6,999.2,396.9,1133.1,507.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,nose,606.6,307.5,690.8,436.2,918.2,474.3,1023.5,635.3,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,mouth,592.8,452.1,710.5,513.7,901.1,655.1,1048.2,732.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,forehead,482.9,194.0,804.8,467.1,763.7,332.5,1166.0,673.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,chin,488.1,335.0,804.8,564.1,770.1,508.7,1166.0,795.2,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,left_cheek,499.2,359.8,595.7,483.0,784.0,539.8,904.7,693.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
3,120,right_cheek,696.5,341.2,793.0,472.0,1030.6,516.5,1151.3,679.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,left_eye,504.0,256.8,610.7,343.8,790.1,411.0,923.4,519.8,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,right_eye,671.1,253.5,780.7,340.9,998.8,406.8,1135.9,516.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,nose,600.9,313.3,687.5,443.1,911.1,481.6,1019.3,643.8,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,mouth,586.2,459.6,707.2,522.1,892.7,664.5,1044.0,742.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,forehead,483.4,198.6,810.0,466.8,764.2,338.3,1172.5,673.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,chin,488.1,343.8,810.0,568.3,770.1,519.7,1172.5,800.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,left_cheek,497.3,359.7,593.1,484.4,781.6,539.6,901.4,695.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
4,160,right_cheek,696.0,350.9,794.8,481.6,1029.9,528.6,1153.5,692.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,left_eye,503.0,257.8,604.3,344.9,788.8,412.3,915.4,521.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,right_eye,666.4,259.1,778.4,344.8,993.0,413.8,1132.9,521.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,nose,589.0,316.5,676.7,446.2,896.3,485.7,1005.8,647.8,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,mouth,577.9,464.5,696.9,524.8,882.4,670.6,1031.2,746.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,forehead,483.8,201.4,811.6,467.0,764.8,341.8,1174.5,673.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,chin,488.3,348.5,811.6,571.6,770.3,525.7,1174.5,804.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,left_cheek,494.1,358.6,585.1,484.8,777.6,538.3,891.4,696.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
5,200,right_cheek,688.0,356.3,793.1,487.2,1020.0,535.4,1151.4,699.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,left_eye,495.7,253.9,593.5,343.9,779.6,407.4,901.9,519.8,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,right_eye,653.0,257.1,773.5,344.0,976.3,411.4,1126.8,520.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,nose,573.8,314.9,661.6,444.1,877.3,483.6,987.0,645.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,mouth,566.1,463.4,684.0,521.6,867.6,669.2,1015.0,742.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,forehead,483.8,198.5,810.6,468.3,764.8,338.2,1173.3,675.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,chin,488.6,344.8,810.6,572.9,770.7,521.0,1173.3,806.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,left_cheek,488.0,352.9,572.9,483.3,770.0,531.1,876.2,694.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
6,240,right_cheek,675.2,356.1,789.7,488.4,1004.0,535.2,1147.1,700.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,left_eye,487.4,242.1,578.8,334.8,769.3,392.6,883.4,508.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,right_eye,635.2,256.7,759.8,343.2,954.0,410.9,1109.7,519.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,nose,551.0,307.8,639.1,439.3,848.8,474.7,958.8,639.2,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,mouth,548.4,458.1,662.4,512.6,845.5,662.6,988.0,730.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,forehead,484.1,190.2,808.9,468.0,765.1,327.7,1171.1,675.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,chin,491.2,332.9,808.9,571.8,774.0,506.1,1171.1,804.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,left_cheek,481.7,340.9,556.0,473.2,762.1,516.1,855.0,681.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
7,280,right_cheek,656.2,355.3,776.4,487.3,980.3,534.1,1130.4,699.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,left_eye,484.4,233.6,573.2,327.8,765.4,381.9,876.5,499.7,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,right_eye,626.5,251.7,751.5,340.9,943.2,404.6,1099.3,516.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,nose,541.8,300.9,628.4,432.5,837.2,466.2,945.5,630.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,mouth,541.2,452.3,649.2,507.4,836.5,655.4,971.5,724.3,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,forehead,485.0,182.1,808.5,472.3,766.3,317.6,1170.6,680.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,chin,493.5,326.6,808.5,570.0,776.9,498.3,1170.6,802.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,left_cheek,478.2,333.0,549.1,465.5,757.7,506.2,846.4,671.9,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
8,320,right_cheek,646.5,356.3,768.1,488.0,968.2,535.3,1120.1,700.0,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,left_eye,486.1,227.0,577.6,322.8,767.6,373.7,882.0,493.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,right_eye,629.4,246.9,754.0,336.2,946.8,398.7,1102.5,510.3,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,nose,546.4,295.7,632.2,426.9,843.0,459.6,950.3,623.6,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,mouth,547.3,447.8,652.1,506.0,844.2,649.7,975.2,722.5,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,forehead,485.8,177.9,809.3,470.7,767.3,312.4,1171.6,678.4,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
9,360,chin,493.9,321.7,809.3,569.6,777.4,492.1,1171.6,802.1,As93GgkTdt4.004.mp4,1280,720,25.0,383,extraversion,high
