frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,493.1,264.4,601.3,330.4,776.4,420.5,911.6,503.0,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,right_eye,657.9,258.6,782.6,328.4,982.4,413.3,1138.2,500.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,nose,582.6,299.5,679.6,413.6,888.3,464.4,1009.5,607.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,mouth,577.9,429.2,699.2,497.7,882.4,626.5,1034.0,712.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,forehead,475.0,190.8,831.3,479.1,753.7,328.5,1199.2,688.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,chin,475.3,355.7,831.3,576.6,754.1,534.6,1199.2,810.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,left_cheek,483.6,350.1,580.4,478.8,764.4,527.6,885.4,688.6,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
0,0,right_cheek,687.7,346.3,802.4,477.4,1019.7,522.9,1163.0,686.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,left_eye,495.6,264.0,601.7,330.3,779.5,420.0,912.1,502.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,right_eye,657.9,258.6,782.3,327.9,982.4,413.3,1137.9,499.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,nose,583.1,299.4,679.5,413.7,888.9,464.3,1009.4,607.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,mouth,579.5,429.0,699.6,496.9,884.4,626.2,1034.4,711.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,forehead,478.8,190.2,831.2,479.3,758.5,327.8,1199.0,689.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,chin,479.4,355.7,831.2,576.0,759.3,534.6,1199.0,810.0,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,left_cheek,486.0,350.1,581.1,478.9,767.4,527.6,886.3,688.6,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
1,33,right_cheek,687.7,346.1,802.4,477.4,1019.7,522.6,1163.0,686.7,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,left_eye,496.2,264.0,602.3,330.4,780.3,420.0,912.8,503.0,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,right_eye,658.0,258.7,782.4,327.9,982.5,413.4,1138.0,499.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,nose,583.4,299.6,679.8,413.9,889.2,464.5,1009.8,607.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,mouth,580.3,429.0,701.0,497.7,885.4,626.2,1036.3,712.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,forehead,480.1,190.3,832.6,479.3,760.2,327.8,1200.8,689.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,chin,480.8,355.6,832.6,575.8,761.0,534.5,1200.8,809.7,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,left_cheek,486.6,350.3,581.4,479.0,768.2,527.9,886.8,688.7,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
2,66,right_cheek,688.1,346.0,803.3,477.3,1020.1,522.6,1164.2,686.6,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,left_eye,496.2,263.7,602.2,329.9,780.3,419.7,912.8,502.4,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,right_eye,658.0,258.7,782.4,327.5,982.5,413.3,1138.0,499.4,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,nose,583.4,299.5,679.7,413.8,889.2,464.4,1009.6,607.2,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,mouth,580.1,428.8,701.1,497.7,885.1,626.0,1036.4,712.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,forehead,479.9,190.3,832.3,478.4,759.8,327.8,1200.3,688.0,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,chin,480.5,354.8,832.3,574.5,760.6,533.5,1200.3,808.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,left_cheek,486.5,350.1,581.4,478.6,768.1,527.6,886.8,688.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
3,100,right_cheek,688.0,345.6,803.3,476.5,1020.0,522.0,1164.1,685.7,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,left_eye,496.4,263.7,602.4,330.1,780.4,419.7,913.0,502.6,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,right_eye,658.2,258.8,782.6,327.5,982.7,413.5,1138.2,499.4,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,nose,583.5,299.9,680.3,414.3,889.4,464.9,1010.4,607.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,mouth,580.6,429.8,703.2,497.6,885.7,627.2,1039.0,711.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,forehead,480.3,190.3,832.6,478.3,760.4,327.9,1200.8,687.8,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,chin,481.1,354.5,832.6,573.5,761.4,533.2,1200.8,806.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,left_cheek,486.7,350.3,581.7,478.6,768.4,527.9,887.1,688.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
4,133,right_cheek,688.5,345.6,803.8,476.4,1020.6,522.1,1164.8,685.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,left_eye,495.8,263.0,601.9,329.2,779.7,418.8,912.4,501.4,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,right_eye,657.6,258.2,782.2,326.6,982.0,412.8,1137.7,498.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,nose,582.6,299.4,680.3,413.5,888.3,464.3,1010.4,606.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,mouth,577.8,429.8,703.5,492.4,882.3,627.3,1039.3,705.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,forehead,480.1,189.0,831.9,477.8,760.2,326.2,1199.9,687.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,chin,480.8,353.4,831.9,572.2,761.0,531.7,1199.9,805.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,left_cheek,486.5,349.8,581.3,478.0,768.1,527.2,886.6,687.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
5,166,right_cheek,688.3,344.8,803.7,475.6,1020.4,521.0,1164.6,684.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,left_eye,495.7,262.4,601.9,328.5,779.6,418.0,912.4,500.6,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,right_eye,657.6,258.1,782.2,326.3,982.1,412.6,1137.8,497.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,nose,582.5,299.2,680.5,413.5,888.1,464.0,1010.6,606.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,mouth,577.8,429.8,703.6,491.3,882.2,627.3,1039.4,704.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,forehead,480.1,188.1,831.9,476.7,760.1,325.2,1199.9,685.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,chin,480.6,352.4,831.9,571.4,760.8,530.5,1199.9,804.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,left_cheek,486.3,349.1,581.3,477.2,767.8,526.3,886.6,686.5,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
6,200,right_cheek,688.4,344.5,803.8,475.3,1020.4,520.6,1164.7,684.1,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
7,233,left_eye,495.7,262.1,602.0,328.3,779.6,417.6,912.4,500.3,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
7,233,right_eye,658.1,258.2,782.7,326.3,982.6,412.7,1138.3,497.9,B3zFJhrmqwg.001.mp4,1280,720,29.97,459,conscientiousness,low
