frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,367.9,249.4,456.8,324.9,773.1,401.8,921.4,496.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,right_eye,512.2,260.9,616.9,335.2,1013.7,416.2,1188.2,509.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,nose,423.3,302.6,512.8,413.8,865.5,468.3,1014.6,607.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,mouth,398.0,425.1,527.6,509.0,823.4,621.4,1039.3,726.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,forehead,352.5,212.1,645.5,486.4,747.5,355.1,1235.8,698.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,chin,352.5,348.6,643.0,563.7,747.5,525.8,1231.7,794.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,left_cheek,351.5,341.0,429.6,464.6,745.8,516.3,876.1,670.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
0,0,right_cheek,523.8,358.8,623.8,487.2,1033.0,538.5,1199.7,699.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,left_eye,366.3,249.1,454.7,324.9,770.5,401.4,917.8,496.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,right_eye,510.1,261.0,619.0,335.3,1010.1,416.3,1191.7,509.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,nose,418.4,302.0,512.6,414.0,857.3,467.6,1014.3,607.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,mouth,398.1,426.3,527.9,511.5,823.4,622.8,1039.9,729.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,forehead,353.2,205.3,657.2,486.3,748.6,346.6,1255.3,697.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,chin,353.2,346.6,655.2,569.1,748.6,523.3,1251.9,801.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,left_cheek,350.1,340.2,426.9,464.6,743.5,515.2,871.5,670.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
1,66,right_cheek,523.8,358.8,629.8,488.4,1033.0,538.5,1209.6,700.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,left_eye,366.0,249.9,454.8,324.8,770.1,402.4,918.0,496.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,right_eye,510.2,261.3,623.6,334.0,1010.3,416.6,1199.3,507.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,nose,419.3,302.1,515.2,417.7,858.8,467.6,1018.6,612.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,mouth,399.8,429.5,534.8,511.5,826.3,626.9,1051.3,729.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,forehead,353.5,201.4,665.1,485.6,749.2,341.8,1268.4,696.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,chin,353.5,342.6,663.6,571.9,749.2,518.3,1266.0,804.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,left_cheek,349.8,339.2,427.2,466.1,743.0,514.0,872.0,672.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
2,133,right_cheek,526.7,358.8,637.2,490.5,1037.8,538.5,1222.1,703.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,left_eye,366.6,244.0,457.6,318.0,771.0,395.0,922.6,487.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,right_eye,513.6,257.6,627.9,329.2,1016.0,412.0,1206.6,501.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,nose,421.5,295.4,519.1,410.8,862.4,459.3,1025.2,603.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,mouth,401.3,423.4,536.3,501.0,828.9,619.3,1053.9,716.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,forehead,353.6,194.1,666.9,478.9,749.4,332.6,1271.5,688.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,chin,353.6,334.4,664.8,570.2,749.4,508.0,1267.9,802.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,left_cheek,349.9,330.6,429.0,459.0,743.2,503.3,875.0,663.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
3,200,right_cheek,530.2,352.9,639.6,485.5,1043.7,531.2,1226.0,696.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,left_eye,373.3,234.3,463.4,308.9,782.2,382.8,932.3,476.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,right_eye,518.0,252.0,628.6,325.2,1023.3,405.0,1207.7,496.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,nose,421.8,287.7,518.9,400.3,863.0,449.6,1024.8,590.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,mouth,399.3,411.0,531.1,492.8,825.5,603.8,1045.1,706.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,forehead,353.2,189.0,664.8,480.0,748.7,326.2,1267.9,690.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,chin,353.2,326.9,661.9,566.7,748.7,498.6,1263.1,798.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,left_cheek,350.3,320.2,430.4,448.0,743.8,490.2,877.3,649.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
4,266,right_cheek,530.2,348.2,637.6,482.9,1043.7,525.3,1222.7,693.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,left_eye,377.9,225.0,467.5,301.5,789.8,371.2,939.1,466.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,right_eye,521.2,248.7,629.0,324.2,1028.6,400.8,1208.4,495.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,nose,420.9,282.0,517.5,392.0,861.5,442.5,1022.6,580.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,mouth,393.7,401.2,523.4,482.9,816.1,591.4,1032.3,693.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,forehead,347.5,184.8,663.3,480.5,739.2,321.0,1265.5,690.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,chin,347.5,316.8,660.9,559.2,739.2,486.0,1261.4,789.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,left_cheek,347.6,308.6,430.6,434.7,739.3,475.8,877.6,633.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
5,333,right_cheek,530.1,345.1,637.0,479.2,1043.4,521.4,1221.6,689.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,left_eye,377.9,218.9,469.1,296.2,789.8,363.6,941.9,460.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,right_eye,522.6,245.2,628.4,321.6,1031.0,396.5,1207.4,492.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,nose,420.9,277.6,517.4,387.0,861.6,437.0,1022.3,573.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,mouth,393.8,397.2,523.3,476.1,816.3,586.5,1032.2,685.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,forehead,345.4,180.3,661.2,477.0,735.6,315.3,1262.0,686.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,chin,345.4,309.6,656.4,551.2,735.6,477.0,1254.0,778.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,left_cheek,346.6,302.2,431.2,427.9,737.7,467.7,878.7,624.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
6,400,right_cheek,529.7,341.3,634.7,473.5,1042.9,516.6,1217.8,681.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,left_eye,377.9,221.8,471.4,300.3,789.9,367.3,945.6,465.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,right_eye,525.1,250.2,630.7,327.1,1035.2,402.8,1211.1,498.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,nose,426.6,283.9,519.1,395.9,871.1,444.9,1025.2,584.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,mouth,397.6,406.6,527.4,482.1,822.7,598.2,1038.9,692.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,forehead,346.4,183.9,660.8,480.7,737.4,319.9,1261.4,690.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,chin,346.4,315.9,656.3,558.7,737.4,484.9,1253.9,788.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,left_cheek,347.5,309.5,434.9,433.6,739.1,476.9,884.8,632.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
7,466,right_cheek,531.8,347.7,635.1,480.2,1046.3,524.6,1218.5,690.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,left_eye,377.7,242.2,475.2,318.0,789.5,392.7,952.0,487.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,right_eye,529.3,261.7,632.7,336.5,1042.1,417.1,1214.5,510.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,nose,435.1,298.0,528.5,411.3,885.1,462.5,1040.8,604.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,mouth,405.6,421.2,538.2,501.2,836.0,616.5,1057.1,716.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,forehead,347.6,196.7,660.7,483.2,739.3,335.9,1261.2,694.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,chin,347.6,330.0,656.2,566.5,739.3,502.5,1253.6,798.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,left_cheek,353.3,326.3,440.3,453.7,748.8,497.8,893.8,657.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
8,533,right_cheek,538.6,358.2,637.7,487.0,1057.7,537.8,1222.8,698.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,left_eye,380.2,240.2,480.4,316.0,793.7,390.2,960.7,485.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,right_eye,534.4,260.2,634.7,335.3,1050.7,415.3,1217.8,509.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,nose,442.9,296.4,537.2,409.8,898.2,460.5,1055.3,602.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,mouth,415.1,420.5,546.5,491.4,851.8,615.6,1070.8,704.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,forehead,348.4,195.9,660.6,477.8,740.7,334.8,1260.9,687.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,chin,348.4,330.4,656.5,563.1,740.7,503.0,1254.2,793.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,left_cheek,357.1,325.2,446.8,451.7,755.2,496.5,904.6,654.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
9,600,right_cheek,545.3,354.6,641.1,479.4,1068.8,533.2,1228.4,689.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,left_eye,381.4,239.3,482.4,316.9,795.6,389.2,964.0,486.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,right_eye,538.1,256.7,638.1,334.2,1056.8,410.9,1223.4,507.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,nose,448.0,295.2,542.0,408.5,906.6,459.0,1063.4,600.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,mouth,422.0,419.5,553.1,491.6,863.4,614.4,1081.8,704.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,forehead,349.4,195.9,661.3,475.2,742.4,334.9,1262.2,684.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,chin,349.4,332.8,658.3,562.7,742.4,506.1,1257.2,793.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,left_cheek,360.6,327.7,450.5,453.8,761.0,499.6,910.8,657.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
10,666,right_cheek,549.3,354.0,644.6,478.4,1075.5,532.5,1234.4,688.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,left_eye,380.9,243.6,482.4,322.4,794.8,394.5,964.1,493.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,right_eye,538.5,260.2,641.6,336.9,1057.5,415.2,1229.3,511.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,nose,449.1,299.1,542.6,412.1,908.5,463.9,1064.3,605.1,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,mouth,423.9,424.4,550.5,513.3,866.5,620.5,1077.4,731.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,forehead,350.0,201.0,664.3,475.8,743.4,341.2,1267.2,684.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,chin,350.0,336.9,661.0,569.6,743.4,511.1,1261.6,802.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,left_cheek,361.4,332.9,451.0,461.1,762.4,506.1,911.7,666.4,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
11,733,right_cheek,550.4,357.3,646.9,483.6,1077.3,536.6,1238.2,694.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,left_eye,378.8,250.2,481.1,328.7,791.4,402.7,961.9,500.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,right_eye,537.1,266.6,640.0,343.0,1055.1,423.3,1226.7,518.8,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,nose,446.9,305.5,540.7,419.4,904.8,471.8,1061.2,614.2,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,mouth,420.7,432.2,548.3,520.8,861.1,630.2,1073.9,741.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,forehead,348.9,206.1,661.5,481.6,741.6,347.7,1262.5,692.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,chin,348.9,342.3,657.8,574.9,741.6,517.9,1256.4,808.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,left_cheek,360.7,339.2,449.2,468.0,761.2,514.0,908.7,675.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
12,800,right_cheek,548.4,364.1,646.4,491.0,1074.0,545.1,1237.4,703.7,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,left_eye,374.0,250.7,476.9,329.9,783.4,403.4,954.8,502.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,right_eye,533.3,268.0,636.0,344.8,1048.9,425.0,1219.9,521.0,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,nose,443.2,306.7,539.8,420.7,898.7,473.4,1059.6,615.9,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,mouth,419.9,433.5,544.7,518.9,859.8,631.9,1067.9,738.6,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,forehead,345.5,207.0,657.2,481.8,735.9,348.7,1255.4,692.3,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
13,866,chin,345.5,340.8,653.4,574.0,735.9,516.1,1248.9,807.5,BLwgxAWf7cg.003.mp4,960,720,15.0,230,conscientiousness,low
