frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,499.7,267.9,601.0,351.3,784.6,424.8,911.3,529.1,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,right_eye,653.9,242.3,773.3,326.3,977.4,392.9,1126.7,497.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,nose,597.1,307.4,692.0,429.6,906.3,474.2,1025.0,627.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,mouth,598.4,458.2,722.8,538.5,908.0,662.8,1063.5,763.1,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,forehead,486.6,192.9,824.6,500.3,768.2,331.1,1190.8,715.3,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,chin,495.4,336.6,824.6,591.9,779.3,510.7,1190.8,829.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,left_cheek,499.2,372.9,590.5,507.9,784.0,556.1,898.1,724.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
0,0,right_cheek,694.8,335.6,800.6,478.2,1028.5,509.5,1160.7,687.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,left_eye,499.7,267.2,602.0,351.3,784.6,424.0,912.5,529.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,right_eye,653.9,241.2,773.3,325.9,977.4,391.5,1126.7,497.4,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,nose,597.1,306.1,693.9,429.8,906.3,472.6,1027.4,627.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,mouth,598.5,458.1,724.1,538.1,908.1,662.6,1065.2,762.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,forehead,486.4,186.9,824.6,502.9,768.0,323.6,1190.8,718.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,chin,495.4,336.7,824.6,592.4,779.2,510.9,1190.8,830.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,left_cheek,499.2,373.0,590.7,509.0,784.0,556.3,898.3,726.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
1,33,right_cheek,696.0,335.5,801.8,478.6,1030.0,509.4,1162.3,688.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,left_eye,498.8,263.9,602.1,349.8,783.5,419.8,912.7,527.3,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,right_eye,653.5,237.3,773.3,323.2,976.9,386.6,1126.6,494.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,nose,597.1,302.4,695.2,429.2,906.3,468.0,1029.0,626.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,mouth,598.7,457.7,725.4,535.6,908.4,662.2,1066.7,759.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,forehead,484.9,181.1,825.1,503.1,766.2,316.4,1191.4,718.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,chin,494.4,334.3,825.1,592.2,778.0,507.8,1191.4,830.3,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,left_cheek,498.6,372.2,590.7,508.9,783.2,555.2,898.3,726.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
2,66,right_cheek,696.6,332.4,803.5,477.6,1030.7,505.5,1164.4,687.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,left_eye,498.5,263.5,602.6,349.5,783.1,419.3,913.2,526.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,right_eye,652.8,236.2,772.3,322.7,976.0,385.2,1125.4,493.4,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,nose,597.5,302.5,695.9,431.2,906.9,468.2,1029.9,629.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,mouth,598.7,462.0,726.7,523.8,908.3,667.5,1068.3,744.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,forehead,483.9,178.4,824.9,504.2,764.8,313.0,1191.1,720.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,chin,494.4,333.4,824.9,591.7,778.0,506.8,1191.1,829.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,left_cheek,498.5,372.3,591.1,509.8,783.2,555.3,898.9,727.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
3,100,right_cheek,696.8,332.2,803.7,477.8,1031.0,505.2,1164.7,687.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,left_eye,497.9,263.5,602.8,349.6,782.4,419.4,913.5,527.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,right_eye,652.5,236.5,772.0,322.9,975.6,385.6,1125.1,493.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,nose,598.4,302.8,695.8,433.2,908.0,468.5,1029.7,631.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,mouth,598.9,464.4,726.6,519.3,908.6,670.5,1068.3,739.1,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,forehead,483.0,178.5,824.5,504.7,763.7,313.1,1190.6,720.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,chin,494.2,333.6,824.5,590.8,777.8,507.0,1190.6,828.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,left_cheek,498.3,372.8,591.5,510.2,782.9,556.0,899.4,727.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
4,133,right_cheek,696.8,332.3,803.6,478.4,1031.0,505.4,1164.5,688.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,left_eye,497.6,263.7,602.8,350.1,782.0,419.6,913.5,527.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,right_eye,652.5,236.7,771.9,323.6,975.6,385.8,1124.8,494.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,nose,598.4,302.9,695.7,435.1,908.0,468.6,1029.7,633.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,mouth,598.9,465.4,725.6,518.8,908.6,671.7,1067.0,738.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,forehead,482.8,179.3,823.0,506.6,763.5,314.1,1188.7,723.3,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,chin,494.1,335.7,823.0,591.1,777.7,509.6,1188.7,828.9,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,left_cheek,498.1,373.9,591.5,511.6,782.7,557.4,899.4,729.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
5,166,right_cheek,696.7,334.0,802.9,480.5,1030.9,507.5,1163.7,690.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,left_eye,497.8,263.7,603.1,350.2,782.3,419.6,913.8,527.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,right_eye,652.6,237.7,771.9,324.8,975.7,387.1,1124.8,496.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,nose,598.6,303.2,695.4,436.6,908.2,469.0,1029.3,635.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,mouth,598.9,466.1,723.9,517.8,908.6,672.7,1064.8,737.3,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,forehead,482.9,179.8,822.1,506.9,763.6,314.8,1187.7,723.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,chin,494.3,338.3,822.1,591.7,777.9,512.9,1187.7,829.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,left_cheek,498.2,374.4,591.7,512.0,782.7,558.0,899.6,730.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
6,200,right_cheek,696.6,336.6,802.0,483.0,1030.8,510.7,1162.5,693.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,left_eye,498.4,263.2,603.4,349.2,782.9,418.9,914.2,526.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,right_eye,653.5,237.8,772.7,324.8,976.8,387.3,1125.8,496.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,nose,598.6,303.2,695.3,436.1,908.2,469.0,1029.1,635.2,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,mouth,598.9,465.6,721.4,516.4,908.6,672.0,1061.7,735.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,forehead,483.6,178.8,822.1,506.8,764.5,313.5,1187.7,723.5,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,chin,494.5,339.4,822.1,591.8,778.1,514.2,1187.7,829.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,left_cheek,498.2,373.9,591.9,512.0,782.8,557.4,899.8,730.0,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
7,233,right_cheek,696.6,337.4,801.6,483.8,1030.8,511.8,1162.0,694.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
8,266,left_eye,496.4,261.2,602.3,347.5,780.5,416.5,912.9,524.4,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
8,266,right_eye,653.4,237.5,772.7,324.6,976.7,386.9,1125.9,495.8,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
8,266,nose,595.9,302.3,692.9,435.8,904.8,467.8,1026.1,634.7,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
8,266,mouth,595.6,465.7,717.4,518.9,904.6,672.1,1056.8,738.6,C_NtwmmF2Ys.003.mp4,1280,720,30.0,459,emotional_stability,high
