frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,515.1,250.1,628.8,334.8,803.9,402.6,946.0,508.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,right_eye,675.8,281.2,770.1,362.9,1004.7,441.5,1122.6,543.7,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,nose,582.4,321.4,676.2,449.4,888.0,491.8,1005.3,651.7,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,mouth,548.2,468.9,667.3,556.7,845.2,676.1,994.2,785.9,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,forehead,465.6,206.9,783.8,492.8,742.0,348.6,1139.7,706.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,chin,465.6,325.6,769.1,583.0,742.0,497.0,1121.4,818.7,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,left_cheek,484.7,334.7,584.7,473.8,765.9,508.3,890.9,682.3,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
0,0,right_cheek,680.6,386.2,766.1,511.7,1010.7,572.7,1117.6,729.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,left_eye,515.3,249.7,629.1,334.5,804.2,402.1,946.4,508.1,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,right_eye,675.7,281.1,772.5,362.0,1004.6,441.4,1125.7,542.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,nose,583.0,320.8,676.3,449.2,888.7,491.0,1005.4,651.5,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,mouth,548.5,469.1,667.3,558.6,845.6,676.4,994.2,788.2,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,forehead,465.4,201.4,788.0,496.2,741.8,341.7,1145.0,710.3,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,chin,465.4,325.2,774.6,597.1,741.8,496.5,1128.3,836.4,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,left_cheek,484.6,334.5,585.0,476.8,765.8,508.1,891.2,686.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
1,66,right_cheek,681.1,385.7,769.1,514.8,1011.3,572.1,1121.3,733.5,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,left_eye,515.9,249.3,631.4,334.4,804.9,401.7,949.3,508.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,right_eye,676.5,280.5,775.4,361.6,1005.6,440.6,1129.2,542.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,nose,584.7,319.8,678.1,449.2,890.9,489.8,1007.6,651.4,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,mouth,552.0,469.5,669.6,559.8,850.0,676.9,997.0,789.7,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,forehead,465.0,198.6,791.0,502.9,741.3,338.3,1148.7,718.7,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,chin,465.0,326.0,777.4,604.5,741.3,497.5,1131.7,845.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,left_cheek,484.5,335.1,586.1,482.2,765.7,508.8,892.6,692.8,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
2,133,right_cheek,683.7,385.7,771.9,520.5,1014.6,572.2,1124.9,740.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,left_eye,516.7,250.8,632.6,335.5,805.9,403.6,950.8,509.3,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,right_eye,677.7,281.2,776.8,362.1,1007.1,441.5,1131.0,542.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,nose,587.4,320.8,680.5,451.5,894.2,491.0,1010.6,654.4,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,mouth,558.1,473.6,671.4,562.9,857.6,682.0,999.3,793.6,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,forehead,465.4,199.8,791.5,504.7,741.7,339.7,1149.4,720.8,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,chin,465.4,328.7,778.8,608.9,741.7,500.9,1133.4,851.1,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,left_cheek,485.6,338.3,588.0,487.0,767.0,512.9,895.0,698.8,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
3,200,right_cheek,686.0,387.2,774.0,523.6,1017.5,574.0,1127.5,744.4,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,left_eye,517.0,252.3,632.9,336.8,806.3,405.4,951.1,511.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,right_eye,678.5,282.5,777.8,362.4,1008.1,443.1,1132.2,543.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,nose,588.9,322.4,681.6,452.2,896.1,493.0,1012.0,655.2,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,mouth,559.5,473.8,672.4,563.2,859.4,682.2,1000.5,794.0,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,forehead,465.5,200.7,792.5,504.7,741.9,340.9,1150.7,720.9,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
4,266,chin,465.5,330.9,780.1,607.6,741.9,503.6,1135.1,849.5,CqQavmWSLrI.003.mp4,1280,720,15.0,230,emotional_stability,high
