frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,508.0,259.8,602.9,336.3,795.0,414.7,913.7,510.3,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,right_eye,662.0,269.4,777.3,340.7,987.5,426.7,1131.6,515.8,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,nose,584.1,313.8,670.9,433.6,890.1,482.3,998.6,632.0,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,mouth,575.6,450.4,691.9,519.0,879.5,653.0,1024.9,738.7,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,forehead,496.1,208.1,813.2,464.5,780.1,350.2,1176.5,670.6,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,chin,498.6,341.0,811.4,571.9,783.3,516.3,1174.2,804.8,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,left_cheek,501.2,345.7,585.1,471.8,786.4,522.1,891.3,679.8,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
0,0,right_cheek,681.5,357.6,788.7,483.6,1011.9,537.0,1145.9,694.5,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
1,33,left_eye,508.2,260.5,603.1,336.5,795.3,415.7,913.9,510.6,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
1,33,right_eye,661.9,269.5,777.6,341.0,987.4,426.9,1132.0,516.3,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
1,33,nose,584.3,314.0,671.5,434.4,890.4,482.5,999.4,633.0,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
1,33,mouth,575.6,451.6,692.4,519.7,879.5,654.5,1025.5,739.6,E6rptSS3kP4.000.mp4,1280,720,29.97,459,extraversion,high
