frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,487.9,269.4,596.7,349.2,769.9,426.8,905.8,526.4,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,right_eye,663.1,254.4,777.5,335.8,988.9,408.0,1131.8,509.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,nose,593.9,312.8,692.1,434.6,902.4,481.1,1025.1,633.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,mouth,583.5,457.1,724.4,538.9,889.4,661.3,1065.5,763.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,forehead,470.0,204.4,815.2,500.8,747.5,345.5,1179.0,716.1,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,chin,473.7,352.5,815.2,605.9,752.1,530.6,1179.0,847.4,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,left_cheek,484.9,371.9,585.6,511.0,766.2,554.9,892.0,728.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
0,0,right_cheek,695.0,350.1,798.8,492.8,1028.8,527.7,1158.4,706.0,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,left_eye,487.6,269.5,597.1,349.2,769.5,426.9,906.4,526.5,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,right_eye,663.8,253.6,778.4,335.5,989.7,407.0,1133.0,509.4,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,nose,594.1,312.1,694.6,434.7,902.6,480.1,1028.3,633.3,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,mouth,583.7,457.0,724.2,537.2,889.7,661.3,1065.2,761.5,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,forehead,464.9,198.6,817.0,502.5,741.2,338.3,1181.3,718.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,chin,468.7,351.8,817.0,608.0,745.9,529.7,1181.3,850.0,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,left_cheek,483.0,372.0,585.7,512.2,763.7,555.0,892.1,730.3,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
1,70,right_cheek,696.2,349.3,800.9,492.9,1030.3,526.7,1161.2,706.1,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,left_eye,485.7,269.5,596.4,349.1,767.2,426.9,905.6,526.4,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,right_eye,663.4,250.4,778.5,333.9,989.2,403.0,1133.1,507.4,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,nose,594.1,310.3,694.5,433.7,902.7,477.9,1028.1,632.1,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,mouth,583.6,455.1,722.3,535.1,889.5,658.9,1062.9,758.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,forehead,463.3,194.7,818.2,503.9,739.2,333.3,1182.7,719.9,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,chin,467.8,350.0,818.2,608.6,744.7,527.5,1182.7,850.7,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,left_cheek,481.6,371.9,585.2,512.5,762.0,554.8,891.5,730.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
2,140,right_cheek,696.2,346.7,801.2,492.2,1030.3,523.3,1161.5,705.3,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,left_eye,485.8,269.4,597.6,349.0,767.2,426.8,907.0,526.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,right_eye,664.0,247.9,779.7,332.9,989.9,399.8,1134.6,506.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,nose,596.3,309.0,696.1,432.8,905.4,476.2,1030.2,631.0,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,mouth,584.9,452.9,722.4,532.6,891.1,656.1,1063.0,755.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,forehead,462.6,193.2,819.5,504.9,738.3,331.6,1184.4,721.1,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,chin,467.6,349.3,819.5,608.5,744.5,526.6,1184.4,850.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,left_cheek,481.7,371.7,586.0,512.5,762.2,554.6,892.5,730.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
3,210,right_cheek,697.8,345.3,803.1,490.9,1032.2,521.6,1163.9,703.7,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,left_eye,489.7,269.1,597.5,349.0,772.1,426.4,906.9,526.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,right_eye,662.5,246.7,778.9,331.8,988.2,398.4,1133.6,504.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,nose,596.4,308.2,695.7,431.4,905.4,475.3,1029.6,629.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,mouth,584.9,451.4,721.7,531.8,891.2,654.2,1062.1,754.7,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,forehead,470.4,192.7,820.0,506.6,748.0,330.8,1185.0,723.2,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,chin,475.5,349.3,820.0,608.5,754.4,526.6,1185.0,850.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,left_cheek,486.3,371.6,586.5,512.5,767.9,554.5,893.1,730.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
4,280,right_cheek,697.6,344.6,802.9,490.1,1032.0,520.7,1163.7,702.6,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
5,350,left_eye,484.2,269.0,595.8,349.5,765.3,426.2,904.7,526.8,Gk94xrcmFts.005.mp4,1280,720,14.274,219,emotional_stability,high
