frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,473.5,240.6,603.9,334.0,751.9,390.8,914.9,507.5,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,right_eye,684.1,225.5,820.7,319.7,1015.1,371.8,1185.8,489.7,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,nose,592.6,289.1,709.9,422.4,900.7,451.4,1047.4,618.0,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,mouth,584.3,457.4,737.9,516.7,890.4,661.7,1082.3,735.9,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,forehead,446.7,166.0,854.6,525.2,718.4,297.6,1228.3,746.5,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,chin,449.9,364.4,854.6,611.5,722.4,545.5,1228.3,854.4,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,left_cheek,463.1,362.8,584.3,516.6,738.9,543.5,890.3,735.8,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
0,0,right_cheek,718.5,346.0,838.8,499.3,1058.1,522.5,1208.5,714.1,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,left_eye,472.5,240.4,602.1,334.1,750.6,390.6,912.6,507.6,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,right_eye,683.5,222.6,820.8,319.4,1014.4,368.2,1186.0,489.3,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,nose,592.6,288.6,709.9,422.4,900.8,450.8,1047.4,618.0,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,mouth,584.3,458.1,738.1,516.6,890.3,662.7,1082.7,735.8,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,forehead,447.3,165.0,857.8,525.0,719.1,296.2,1232.3,746.2,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,chin,451.2,361.6,857.8,614.4,724.0,542.0,1232.3,858.1,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
1,41,left_cheek,463.3,362.8,583.9,516.7,739.1,543.4,889.9,735.9,JmAQlC-FEV8.003.mp4,1280,720,24.0,367,openness,low
