frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,515.4,254.9,618.6,329.0,804.3,408.7,933.2,501.3,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,right_eye,674.2,271.9,778.8,340.7,1002.7,429.8,1133.5,515.9,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,nose,589.3,316.4,681.1,436.7,896.6,485.5,1011.4,635.9,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,mouth,570.7,464.7,691.3,519.8,873.4,670.9,1024.1,739.7,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,forehead,482.1,202.0,799.7,476.2,762.6,342.5,1159.6,685.2,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,chin,482.1,334.1,796.6,571.9,762.6,507.7,1155.7,804.8,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,left_cheek,497.6,339.9,591.2,473.6,782.0,514.9,899.0,682.0,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
0,0,right_cheek,686.9,364.1,783.6,491.3,1018.6,545.1,1139.5,704.1,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,left_eye,514.9,254.8,618.6,329.0,803.7,408.5,933.2,501.3,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,right_eye,673.7,272.0,778.6,340.9,1002.1,429.9,1133.3,516.2,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,nose,588.9,313.5,680.1,437.5,896.1,481.9,1010.2,636.9,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,mouth,569.8,466.4,690.8,518.4,872.2,673.1,1023.5,738.0,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,forehead,481.9,196.4,800.4,476.7,762.4,335.5,1160.6,685.8,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,chin,481.9,333.6,796.7,572.9,762.4,507.0,1155.9,806.1,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,left_cheek,495.8,339.7,590.3,473.8,779.8,514.7,897.9,682.2,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
1,40,right_cheek,686.6,364.8,783.8,492.4,1018.3,545.9,1139.8,705.5,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,left_eye,515.0,254.8,619.5,329.0,803.8,408.5,934.4,501.3,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,right_eye,673.8,272.5,779.4,341.5,1002.3,430.7,1134.3,516.9,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,nose,588.9,313.1,680.1,439.6,896.1,481.4,1010.2,639.5,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,mouth,569.3,470.5,689.7,517.4,871.6,678.1,1022.1,736.8,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,forehead,482.2,194.6,802.6,476.7,762.7,333.3,1163.3,685.8,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,chin,482.2,331.0,797.6,573.0,762.7,503.8,1157.0,806.2,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,left_cheek,495.7,338.9,590.3,473.8,779.6,513.6,897.9,682.3,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
2,80,right_cheek,686.7,365.8,784.6,493.9,1018.3,547.3,1140.8,707.4,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,left_eye,515.0,255.0,620.2,329.2,803.8,408.7,935.2,501.5,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,right_eye,674.0,273.5,780.0,342.3,1002.6,431.9,1134.9,517.9,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,nose,588.8,313.2,680.2,440.9,896.0,481.5,1010.2,641.1,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,mouth,568.7,470.9,687.8,515.6,870.9,678.6,1019.8,734.5,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,forehead,481.7,194.2,803.2,476.4,762.1,332.8,1164.0,685.5,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,chin,481.7,328.9,797.8,572.9,762.1,501.1,1157.3,806.1,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,left_cheek,494.8,338.0,590.3,473.7,778.5,512.5,897.9,682.1,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
3,120,right_cheek,686.7,366.5,784.9,494.4,1018.4,548.1,1141.2,708.0,MvWDky9ZaWU.000.mp4,1280,720,25.0,383,agreeableness,high
