frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,512.1,206.5,634.0,306.2,800.1,348.1,952.5,472.7,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,right_eye,686.4,243.2,794.7,342.7,1018.0,394.1,1153.4,518.3,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,nose,597.8,287.4,690.3,404.5,907.3,449.2,1022.8,595.7,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,mouth,558.6,421.4,683.5,522.8,858.2,616.7,1014.4,743.5,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,forehead,458.5,176.2,804.3,487.4,733.1,310.3,1165.4,699.2,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,chin,458.5,312.5,791.3,572.3,733.1,480.7,1149.1,805.4,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,left_cheek,480.1,309.4,590.0,451.6,760.1,476.8,897.5,654.5,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
0,0,right_cheek,698.9,360.0,789.9,492.0,1033.6,540.0,1147.4,705.0,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,left_eye,511.1,205.0,633.9,306.2,798.8,346.3,952.4,472.7,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,right_eye,685.5,239.6,794.6,342.7,1016.9,389.5,1153.3,518.3,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,nose,597.8,285.3,689.7,404.5,907.3,446.6,1022.1,595.6,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,mouth,558.7,421.8,682.4,524.7,858.3,617.2,1013.0,745.8,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,forehead,456.4,169.7,804.4,489.2,730.5,302.1,1165.4,701.4,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,chin,456.4,313.6,789.6,575.1,730.5,481.9,1147.1,808.8,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,left_cheek,479.2,309.8,589.3,454.0,759.0,477.3,896.7,657.5,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
1,66,right_cheek,698.4,360.0,788.6,493.2,1033.0,540.0,1145.7,706.5,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,left_eye,510.3,205.3,633.2,307.9,797.9,346.6,951.5,474.9,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,right_eye,685.5,240.0,794.6,343.1,1016.8,390.0,1153.3,518.8,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,nose,595.7,285.4,689.1,406.5,904.6,446.7,1021.3,598.1,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,mouth,561.0,431.0,678.8,521.1,861.3,628.7,1008.6,741.4,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,forehead,456.4,169.7,805.0,489.1,730.5,302.1,1166.3,701.3,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,chin,456.4,314.5,789.9,574.8,730.5,483.1,1147.4,808.4,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,left_cheek,479.2,312.1,587.8,456.2,758.9,480.1,894.8,660.2,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
2,133,right_cheek,697.5,360.7,788.5,493.5,1031.9,540.8,1145.6,706.9,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,left_eye,509.6,206.8,632.4,307.9,797.0,348.6,950.5,474.9,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,right_eye,685.4,240.0,794.8,343.1,1016.7,390.1,1153.4,518.8,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,nose,593.8,285.5,689.4,408.0,902.2,446.9,1021.8,600.0,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,mouth,563.0,433.2,680.4,515.4,863.8,631.4,1010.5,734.3,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,forehead,456.6,168.8,806.5,486.6,730.7,301.0,1168.1,698.3,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,chin,456.6,314.1,791.5,574.0,730.7,482.6,1149.4,807.4,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
3,200,left_cheek,479.0,312.2,587.1,456.0,758.8,480.2,893.9,660.1,NBacfF-K2eQ.004.mp4,1280,720,15.0,230,agreeableness,low
