frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,494.5,252.0,603.7,336.2,778.1,405.0,914.6,510.3,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,right_eye,665.9,248.4,780.4,329.7,992.4,400.5,1135.5,502.1,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,nose,590.0,311.2,688.1,445.3,897.5,479.0,1020.1,646.6,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,mouth,576.9,462.6,711.0,533.5,881.1,668.2,1048.8,756.8,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,forehead,478.5,189.1,807.8,451.3,758.2,326.4,1169.8,654.2,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,chin,484.4,325.4,807.7,575.0,765.5,496.7,1169.6,808.7,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,left_cheek,491.7,347.3,586.2,481.8,774.6,524.1,892.8,692.3,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
0,0,right_cheek,691.2,339.7,793.4,477.7,1024.0,514.6,1151.7,687.2,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
1,33,left_eye,494.5,251.9,604.2,336.2,778.1,404.9,915.3,510.3,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
1,33,right_eye,666.0,248.0,780.6,329.6,992.4,400.0,1135.7,502.0,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
1,33,nose,591.9,311.3,688.4,444.8,899.9,479.1,1020.6,646.0,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
1,33,mouth,578.4,462.2,712.0,533.3,883.0,667.8,1050.0,756.6,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
1,33,forehead,478.5,189.1,808.6,451.5,758.1,326.4,1170.8,654.3,O2wMPdp2-Is.002.mp4,1280,720,29.81,457,openness,high
