frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,495.3,239.0,601.5,322.4,779.1,388.7,911.9,493.0,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,right_eye,671.8,249.0,800.5,319.0,999.8,401.2,1160.6,488.8,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,nose,588.5,298.7,685.8,429.9,895.6,463.4,1017.3,627.4,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,mouth,577.6,445.3,718.9,567.1,882.0,646.6,1058.6,798.9,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,forehead,478.7,182.1,853.5,478.1,758.4,317.6,1226.9,687.6,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,chin,479.6,343.2,853.5,617.1,759.6,519.0,1226.9,861.4,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,left_cheek,482.7,345.0,584.0,495.5,763.3,521.2,890.0,709.4,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
0,0,right_cheek,698.6,346.6,822.2,499.4,1033.2,523.3,1187.8,714.3,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
1,41,left_eye,511.2,246.3,626.5,335.6,799.0,397.9,943.1,509.4,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
1,41,right_eye,697.6,259.0,812.1,338.1,1032.0,413.7,1175.2,512.6,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
1,41,nose,606.1,314.2,711.6,454.4,917.7,482.7,1049.5,658.0,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
1,41,mouth,588.6,475.1,725.2,568.6,895.7,683.8,1066.5,800.8,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
1,41,forehead,479.2,189.5,852.5,493.0,759.0,326.8,1225.6,706.3,TmyDT-HC3qI.001.mp4,1280,720,24.0,367,agreeableness,low
