frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,491.7,240.7,617.4,332.0,774.7,390.9,931.8,504.9,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,right_eye,682.3,255.9,786.4,346.6,1012.8,409.8,1143.0,523.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,nose,594.0,305.1,694.6,426.8,902.5,471.4,1028.2,623.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,mouth,577.1,441.8,704.1,516.2,881.4,642.2,1040.1,735.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,forehead,443.0,199.1,796.9,503.1,713.7,338.9,1156.1,718.9,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,chin,443.0,359.7,791.7,586.6,713.7,539.6,1149.6,823.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,left_cheek,469.5,349.9,585.7,485.3,746.9,527.3,892.1,696.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
0,0,right_cheek,698.7,368.8,792.6,500.4,1033.4,551.1,1150.8,715.5,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,left_eye,491.7,240.9,617.4,332.1,774.7,391.2,931.8,505.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,right_eye,681.6,255.0,786.5,346.3,1012.0,408.7,1143.2,522.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,nose,593.4,303.2,694.6,424.7,901.7,469.0,1028.2,620.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,mouth,574.3,441.7,704.7,516.3,877.9,642.2,1040.9,735.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,forehead,440.8,195.1,797.7,505.3,711.0,333.8,1157.1,721.7,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,chin,440.8,360.2,793.2,593.1,711.0,540.2,1151.5,831.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,left_cheek,469.0,349.9,585.1,486.8,746.3,527.4,891.4,698.5,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
1,41,right_cheek,698.7,368.3,792.8,501.9,1033.4,550.4,1151.0,717.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,left_eye,492.0,241.2,617.6,332.7,775.0,391.6,932.0,505.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,right_eye,680.9,254.6,786.3,346.2,1011.2,408.2,1142.9,522.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,nose,592.3,302.2,694.4,424.0,900.4,467.7,1028.0,620.0,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,mouth,571.9,441.8,704.7,518.2,874.9,642.3,1040.9,737.7,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,forehead,439.0,192.5,797.8,509.0,708.7,330.6,1157.2,726.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,chin,439.0,362.3,793.2,596.6,708.7,542.8,1151.5,835.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,left_cheek,468.4,350.5,584.5,489.4,745.5,528.2,890.7,701.7,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
2,83,right_cheek,698.5,368.3,792.6,504.4,1033.2,550.3,1150.8,720.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,left_eye,492.3,241.3,617.6,332.3,775.3,391.6,932.0,505.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,right_eye,680.6,254.0,786.3,345.3,1010.8,407.5,1142.9,521.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,nose,590.9,300.6,694.3,421.6,898.6,465.8,1027.9,616.9,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,mouth,570.9,440.7,704.7,518.2,873.6,640.9,1040.8,737.7,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,forehead,438.7,191.3,797.9,508.9,708.4,329.2,1157.4,726.1,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,chin,438.7,362.2,793.4,596.2,708.4,542.8,1151.7,835.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,left_cheek,468.2,350.4,584.0,489.1,745.2,528.0,890.0,701.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
3,125,right_cheek,698.5,367.2,792.5,504.3,1033.1,549.0,1150.7,720.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,left_eye,494.2,241.7,618.1,332.6,777.7,392.2,932.7,505.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,right_eye,680.7,254.0,786.3,345.5,1010.8,407.5,1142.9,521.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,nose,590.8,300.7,694.1,421.6,898.5,465.9,1027.6,617.0,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,mouth,570.8,440.5,704.4,518.6,873.6,640.6,1040.4,738.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,forehead,439.9,191.8,798.4,509.2,709.8,329.7,1158.0,726.5,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,chin,439.9,362.5,793.9,596.4,709.8,543.1,1152.4,835.5,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,left_cheek,469.0,350.5,584.0,489.1,746.3,528.1,890.0,701.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
4,166,right_cheek,698.4,367.2,792.4,504.6,1033.0,549.1,1150.5,720.7,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,left_eye,496.5,242.3,618.7,332.8,780.7,392.9,933.4,506.0,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,right_eye,680.7,254.1,786.3,345.9,1010.8,407.6,1142.9,522.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,nose,590.9,300.8,694.1,421.1,898.6,466.0,1027.6,616.4,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,mouth,571.2,440.5,703.3,518.9,874.0,640.6,1039.2,738.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,forehead,443.3,192.2,798.6,509.4,714.2,330.2,1158.3,726.8,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,chin,443.3,363.0,794.4,595.7,714.2,543.8,1153.1,834.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,left_cheek,470.9,350.5,584.5,489.0,748.6,528.1,890.6,701.3,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
5,208,right_cheek,698.4,367.3,792.3,504.5,1033.0,549.1,1150.4,720.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
6,250,left_eye,497.7,242.0,619.2,332.1,782.2,392.5,934.0,505.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
6,250,right_eye,680.7,253.7,786.3,345.8,1010.8,407.2,1142.9,522.2,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
6,250,nose,591.0,299.9,694.3,418.0,898.7,464.9,1027.9,612.5,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
6,250,mouth,571.4,438.3,701.6,518.9,874.2,637.9,1037.0,738.6,Wa-HX5jP3ew.003.mp4,1280,720,23.976,367,openness,low
