frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,489.5,264.5,610.0,338.4,771.9,420.6,922.5,512.9,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,right_eye,672.4,258.0,779.6,337.4,1000.5,412.5,1134.5,511.7,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,nose,595.3,309.3,692.9,442.4,904.2,476.6,1026.1,643.0,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,mouth,577.9,469.5,702.0,538.0,882.4,676.8,1037.5,762.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,forehead,447.4,198.8,797.7,497.0,719.2,338.5,1157.1,711.3,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,chin,447.9,358.9,796.9,609.7,719.8,538.7,1156.2,852.1,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,left_cheek,474.1,366.9,587.4,510.0,752.6,548.7,894.2,727.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
0,0,right_cheek,694.4,358.8,790.1,501.2,1028.1,538.5,1147.6,716.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,left_eye,488.8,264.6,609.8,338.8,771.0,420.8,922.3,513.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,right_eye,672.0,258.2,779.5,337.6,1000.0,412.7,1134.4,512.0,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,nose,595.7,309.3,692.1,442.1,904.6,476.6,1025.1,642.6,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,mouth,578.4,469.4,701.4,534.8,883.0,676.7,1036.8,758.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,forehead,446.4,198.9,797.8,497.7,717.9,338.7,1157.3,712.1,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,chin,446.9,358.9,797.1,609.1,718.6,538.7,1156.4,851.4,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,left_cheek,474.0,367.1,587.4,510.0,752.5,548.9,894.2,727.5,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
1,40,right_cheek,694.0,358.8,790.0,500.8,1027.6,538.5,1147.5,716.0,ZIk7N-xHvF4.002.mp4,1280,720,25.0,383,emotional_stability,high
