frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,511.6,239.8,604.6,328.2,799.5,394.0,915.8,506.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,right_eye,652.2,229.8,765.2,319.9,975.2,381.3,1116.5,495.6,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,nose,589.9,291.9,668.2,410.9,897.4,460.1,995.2,610.8,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,mouth,581.7,433.4,681.7,493.9,887.2,639.3,1012.1,716.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,forehead,499.5,193.0,810.6,470.3,784.4,334.7,1173.2,686.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,chin,504.4,344.3,810.6,557.0,790.5,526.4,1173.2,796.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,left_cheek,503.8,349.9,586.6,475.2,789.8,533.5,893.3,692.3,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
0,0,right_cheek,678.0,338.4,784.7,469.2,1007.5,518.9,1140.9,684.7,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,left_eye,509.9,237.3,602.9,327.5,797.4,390.8,913.6,505.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,right_eye,647.3,220.5,762.8,315.5,969.1,369.5,1113.5,489.9,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,nose,588.7,287.4,666.1,408.0,895.9,454.3,992.6,607.2,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,mouth,580.5,428.9,682.3,494.4,885.7,633.7,1012.8,716.7,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,forehead,499.4,183.4,811.4,470.8,784.3,322.5,1174.2,686.8,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,chin,504.4,339.0,811.4,557.5,790.5,519.7,1174.2,796.7,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,left_cheek,503.4,349.0,584.4,475.1,789.2,532.4,890.5,692.3,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
1,40,right_cheek,676.8,332.4,784.7,465.7,1005.9,511.4,1140.9,680.4,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,left_eye,509.5,235.8,601.5,327.0,796.9,388.9,911.8,504.5,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,right_eye,644.8,214.8,762.2,311.7,966.0,362.3,1112.8,485.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,nose,588.1,284.8,665.5,405.2,895.2,451.1,991.8,603.6,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,mouth,580.2,423.5,685.4,497.0,885.3,626.8,1016.7,720.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,forehead,500.7,179.1,814.9,471.0,785.9,317.0,1178.6,687.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,chin,505.9,332.7,814.9,557.5,792.4,511.8,1178.6,796.8,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,left_cheek,503.3,347.9,583.4,475.0,789.1,530.9,889.3,692.2,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
2,80,right_cheek,676.5,326.4,785.4,461.5,1005.6,503.7,1141.7,675.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,left_eye,509.3,234.1,599.0,325.3,796.6,386.8,908.8,502.3,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,right_eye,641.3,212.6,759.7,309.9,961.7,359.5,1109.6,482.8,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,nose,585.0,283.0,663.4,402.5,891.2,448.7,989.2,600.2,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,mouth,578.7,420.6,685.9,497.0,883.4,623.1,1017.4,720.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,forehead,501.0,177.2,815.3,470.7,786.2,314.6,1179.1,686.6,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,chin,506.3,330.2,815.3,557.5,792.8,508.6,1179.1,796.7,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,left_cheek,502.5,346.0,581.2,474.1,788.1,528.6,886.5,690.9,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
3,120,right_cheek,674.9,324.0,785.3,459.3,1003.6,500.7,1141.6,672.2,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,left_eye,508.2,234.8,594.9,326.2,795.2,387.7,903.7,503.5,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,right_eye,633.9,214.4,753.2,310.8,952.4,361.8,1101.6,484.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,nose,577.9,283.9,658.2,403.7,882.4,449.8,982.7,601.7,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,mouth,575.1,422.6,685.7,497.8,878.8,625.6,1017.1,721.0,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,forehead,501.1,178.5,814.1,470.3,786.4,316.2,1177.7,686.1,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
4,160,chin,507.8,330.4,814.1,557.3,794.7,508.8,1177.7,796.5,_ZAqTHlu2ts.001.mp4,1280,710,25.0,368,openness,low
