frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,513.2,264.1,610.3,333.4,801.5,420.1,922.9,506.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,right_eye,664.0,267.4,773.4,336.6,990.0,424.3,1126.8,510.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,nose,584.9,308.1,676.0,420.9,891.1,475.1,1005.0,616.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,mouth,563.1,436.1,711.0,522.0,863.8,635.1,1048.7,742.6,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,forehead,492.1,208.2,807.9,486.4,775.2,350.3,1169.9,698.1,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,chin,492.1,359.9,807.8,579.4,775.2,539.9,1169.8,814.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,left_cheek,498.2,349.9,586.3,475.8,782.8,527.4,892.9,684.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
0,0,right_cheek,683.5,357.0,786.0,485.7,1014.4,536.2,1142.5,697.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,left_eye,513.1,264.0,609.7,334.6,801.4,420.0,922.1,508.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,right_eye,661.7,267.6,772.5,337.1,987.2,424.4,1125.6,511.4,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,nose,584.4,308.2,676.1,423.2,890.5,475.2,1005.1,618.9,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,mouth,562.5,437.1,710.7,521.9,863.1,636.4,1048.4,742.3,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,forehead,492.5,204.9,808.5,488.0,775.7,346.1,1170.6,700.0,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,chin,492.5,360.7,808.5,583.7,775.7,540.9,1170.6,819.6,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,left_cheek,498.2,350.2,586.1,477.5,782.7,527.8,892.6,686.9,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
1,33,right_cheek,683.5,357.3,786.4,486.9,1014.3,536.6,1143.0,698.6,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,left_eye,513.1,264.0,609.6,335.1,801.4,420.0,922.0,508.9,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,right_eye,661.0,267.8,771.9,337.2,986.2,424.8,1124.9,511.5,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,nose,584.4,308.4,676.3,424.8,890.5,475.4,1005.4,621.0,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,mouth,562.4,438.5,710.6,519.2,862.9,638.2,1048.2,739.0,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,forehead,493.1,203.7,808.7,489.0,776.3,344.6,1170.9,701.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,chin,493.3,361.0,808.7,584.1,776.7,541.3,1170.9,820.1,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,left_cheek,498.2,350.4,586.1,478.2,782.8,528.0,892.6,687.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
2,66,right_cheek,683.5,357.5,786.6,487.5,1014.3,536.8,1143.2,699.4,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,left_eye,513.2,264.0,609.6,335.4,801.5,420.0,922.0,509.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,right_eye,661.0,267.9,772.0,337.4,986.3,424.9,1124.9,511.7,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,nose,584.4,308.6,676.5,426.4,890.5,475.7,1005.6,623.0,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,mouth,562.3,439.9,710.0,517.9,862.9,639.8,1047.6,737.4,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,forehead,493.2,202.4,810.5,490.7,776.4,343.1,1173.2,703.3,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,chin,493.5,361.0,810.4,584.2,776.9,541.3,1173.0,820.2,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
3,100,left_cheek,498.2,350.4,586.1,478.8,782.8,528.1,892.6,688.5,agreeableness_high4_VZ6jhnbk-5g.004.mp4,1280,720,30.0,459,agreeableness,high
