frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,507.2,246.9,600.0,331.4,794.0,398.7,910.0,504.2,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,right_eye,651.3,259.4,792.4,339.4,974.1,414.3,1150.5,514.2,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,nose,564.2,309.9,663.1,452.9,865.2,477.3,988.9,656.1,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,mouth,567.9,482.1,703.5,558.8,869.9,692.6,1039.4,788.5,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,forehead,510.6,185.6,863.5,478.1,798.2,321.9,1239.4,687.6,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,chin,527.8,328.8,863.5,606.4,819.7,501.0,1239.4,848.0,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,left_cheek,502.6,341.6,575.6,490.1,788.2,517.1,879.5,702.6,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
0,0,right_cheek,682.2,359.4,818.7,510.2,1012.8,539.3,1183.4,727.8,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,left_eye,508.5,245.5,600.6,330.5,795.6,396.8,910.7,503.2,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,right_eye,653.8,256.4,795.0,338.1,977.2,410.6,1153.7,512.6,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,nose,566.5,308.4,664.1,452.7,868.1,475.5,990.1,655.9,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,mouth,569.5,482.0,703.1,554.9,871.9,692.5,1038.9,783.7,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,forehead,512.3,182.3,866.5,476.4,800.4,317.9,1243.1,685.5,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,chin,528.7,326.9,866.5,606.6,820.9,498.6,1243.1,848.3,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,left_cheek,503.3,340.1,577.4,489.0,789.1,515.1,881.7,701.2,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
1,33,right_cheek,683.6,358.3,821.2,509.7,1014.5,537.8,1186.5,727.2,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
2,66,left_eye,509.4,242.8,602.0,328.8,796.8,393.6,912.5,501.0,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
2,66,right_eye,655.5,253.8,796.9,336.6,979.4,407.3,1156.1,510.7,agreeableness_high5_4T9UUWWRE94.000.mp4,1280,720,29.97,459,agreeableness,high
