frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,486.8,260.0,612.1,335.4,768.5,415.0,925.1,509.3,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,right_eye,672.9,259.3,767.2,335.2,1001.1,414.1,1119.0,509.0,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,nose,604.6,306.2,696.6,422.0,915.8,472.8,1030.8,617.5,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,mouth,579.3,444.8,710.1,522.2,884.1,646.0,1047.6,742.7,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,forehead,442.2,204.0,772.4,470.6,712.8,344.9,1125.5,678.3,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,chin,445.0,347.5,771.6,577.0,716.3,524.4,1124.5,811.3,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,left_cheek,475.4,352.7,590.9,486.9,754.2,530.9,898.7,698.7,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
0,0,right_cheek,695.6,348.3,777.8,479.4,1029.5,525.4,1132.2,689.2,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,left_eye,489.6,259.9,612.7,336.0,772.0,414.9,925.9,510.0,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,right_eye,673.4,258.4,767.6,335.2,1001.7,412.9,1119.5,509.0,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,nose,604.7,306.0,696.8,422.5,915.9,472.5,1031.0,618.2,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,mouth,580.7,444.5,711.1,516.4,885.9,645.7,1048.9,735.5,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,forehead,444.9,200.5,773.6,478.7,716.2,340.7,1127.0,688.4,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,chin,447.5,348.8,773.2,580.1,719.3,526.0,1126.5,815.1,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,left_cheek,477.7,356.4,591.9,490.2,757.1,535.5,899.9,702.8,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
1,70,right_cheek,695.8,348.3,778.0,479.8,1029.7,525.4,1132.4,689.7,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,left_eye,489.7,260.0,613.0,337.1,772.2,415.0,926.3,511.3,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,right_eye,673.8,258.1,768.0,335.4,1002.3,412.6,1120.0,509.3,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,nose,605.1,306.0,698.2,423.3,916.3,472.6,1032.7,619.2,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,mouth,582.6,443.5,712.2,517.6,888.2,644.3,1050.3,736.9,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,forehead,444.7,198.5,774.7,482.2,715.9,338.2,1128.3,692.8,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
2,140,chin,447.3,348.9,774.7,586.6,719.2,526.1,1128.3,823.2,agreeableness_low3__kK9tGN883Y.000.mp4,1280,720,14.268,219,agreeableness,low
