frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,519.2,265.7,610.1,345.4,809.0,422.1,922.6,521.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,right_eye,656.2,256.6,764.8,330.1,980.2,410.7,1116.1,502.6,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,nose,595.6,308.5,685.0,425.4,904.5,475.6,1016.2,621.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,mouth,596.8,449.2,705.5,524.7,905.9,651.5,1041.9,745.9,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,forehead,508.5,207.8,812.1,484.6,795.6,349.8,1175.1,695.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,chin,515.6,350.7,812.1,576.0,804.6,528.4,1175.1,810.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,left_cheek,516.4,366.2,595.3,491.2,805.5,547.7,904.2,704.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
0,0,right_cheek,689.0,346.5,788.5,476.0,1021.2,523.1,1145.6,685.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,left_eye,519.1,265.8,609.8,346.5,808.8,422.2,922.3,523.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,right_eye,655.7,256.6,764.9,330.5,979.7,410.7,1116.1,503.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,nose,595.6,308.5,685.0,425.6,904.5,475.6,1016.3,622.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,mouth,596.7,449.0,708.3,530.1,905.8,651.2,1045.4,752.6,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,forehead,508.5,206.8,812.5,485.5,795.6,348.4,1175.6,696.8,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,chin,515.6,351.2,812.5,578.4,804.5,529.0,1175.6,813.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,left_cheek,516.3,366.9,595.3,492.6,805.4,548.6,904.1,705.8,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
1,33,right_cheek,689.2,346.7,789.2,476.8,1021.5,523.4,1146.4,686.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,left_eye,518.8,267.5,609.8,348.5,808.5,424.3,922.2,525.6,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_eye,655.3,258.3,764.9,332.2,979.1,412.9,1116.1,505.2,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,nose,595.6,310.2,685.2,428.9,904.5,477.7,1016.5,626.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,mouth,596.2,449.9,709.5,532.0,905.2,652.3,1046.9,755.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,forehead,508.2,206.7,812.6,486.9,795.2,348.4,1175.7,698.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,chin,515.4,351.6,812.6,579.8,804.3,529.5,1175.7,814.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,left_cheek,516.2,369.1,595.2,495.0,805.2,551.4,904.0,708.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_cheek,689.3,347.6,789.3,478.7,1021.7,524.6,1146.6,688.4,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_eye,518.2,269.5,608.2,349.8,807.7,426.9,920.2,527.3,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_eye,653.1,260.5,764.0,333.4,976.4,415.6,1115.0,506.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,nose,593.5,311.9,683.0,431.7,901.8,479.9,1013.8,629.6,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,mouth,593.5,452.7,708.7,531.9,901.9,655.9,1045.8,754.9,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,forehead,508.1,207.0,812.2,486.9,795.2,348.7,1175.3,698.6,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,chin,515.4,351.8,812.2,580.1,804.2,529.8,1175.3,815.2,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_cheek,515.7,370.3,593.6,495.3,804.6,552.9,902.0,709.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_cheek,687.9,348.7,788.4,480.2,1019.8,525.9,1145.5,690.3,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_eye,517.8,269.7,607.5,350.0,807.3,427.1,919.4,527.5,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_eye,652.5,260.6,763.6,333.7,975.6,415.8,1114.5,507.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,nose,592.6,312.2,682.4,432.1,900.8,480.3,1013.1,630.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,mouth,592.3,453.4,708.0,531.5,900.4,656.7,1045.0,754.4,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,forehead,508.1,207.0,811.8,486.7,795.2,348.7,1174.7,698.4,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,chin,515.4,352.2,811.8,580.0,804.2,530.2,1174.7,815.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_cheek,515.5,370.5,593.0,495.3,804.3,553.1,901.2,709.1,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_cheek,687.3,349.3,788.0,480.8,1019.2,526.6,1145.1,691.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,1280,720,29.97,459,conscientiousness,high
