frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,504.5,269.2,609.7,340.2,790.6,426.5,922.2,515.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,right_eye,670.2,251.1,770.6,327.4,997.8,403.9,1123.3,499.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,nose,604.5,311.0,698.5,428.5,915.6,478.7,1033.1,625.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,mouth,580.9,444.8,720.5,517.9,886.1,646.0,1060.6,737.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,forehead,476.5,201.3,792.2,475.7,755.6,341.7,1150.3,684.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,chin,480.6,336.1,792.2,577.8,760.7,510.1,1150.3,812.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,left_cheek,497.4,360.6,595.7,484.5,781.7,540.7,904.6,695.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
0,0,right_cheek,696.0,337.3,784.8,465.9,1030.0,511.6,1140.9,672.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,left_eye,502.9,269.8,609.3,340.8,788.6,427.2,921.6,516.0,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,right_eye,669.6,251.6,770.5,327.6,997.0,404.5,1123.1,499.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,nose,604.5,312.1,697.5,429.0,915.6,480.1,1031.9,626.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,mouth,580.6,445.2,720.6,517.6,885.8,646.4,1060.8,737.0,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,forehead,474.4,201.1,792.3,476.1,753.0,341.4,1150.3,685.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,chin,479.3,335.7,792.3,575.6,759.1,509.6,1150.3,809.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,left_cheek,496.2,361.3,595.5,485.1,780.2,541.6,904.3,696.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
1,41,right_cheek,695.8,337.2,784.8,466.0,1029.7,511.5,1140.9,672.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,left_eye,502.6,269.8,609.4,341.0,788.3,427.2,921.8,516.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,right_eye,669.1,251.8,770.5,327.7,996.3,404.8,1123.1,499.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,nose,604.6,311.5,696.9,429.0,915.8,479.3,1031.2,626.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,mouth,580.7,445.2,721.2,514.5,885.9,646.5,1061.5,733.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,forehead,473.3,199.1,793.2,476.2,751.7,338.9,1151.6,685.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,chin,478.7,335.7,793.2,573.0,758.4,509.6,1151.6,806.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,left_cheek,495.3,361.6,595.4,485.2,779.1,541.9,904.3,696.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
2,83,right_cheek,695.8,337.2,785.6,466.0,1029.7,511.5,1141.9,672.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,left_eye,502.7,268.4,609.6,340.7,788.3,425.5,921.9,515.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,right_eye,668.1,250.9,770.5,327.6,995.2,403.7,1123.1,499.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,nose,604.6,308.6,695.4,427.8,915.7,475.8,1029.3,624.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,mouth,581.2,444.6,719.0,510.6,886.5,645.7,1058.7,728.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,forehead,473.6,196.5,794.2,476.2,751.9,335.7,1152.7,685.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,chin,478.7,335.7,794.2,571.7,758.4,509.6,1152.7,804.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,left_cheek,495.2,361.2,595.2,485.0,779.0,541.6,903.9,696.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
3,125,right_cheek,695.6,337.2,785.9,466.1,1029.5,511.5,1142.3,672.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,left_eye,501.5,258.7,607.0,336.3,786.9,413.4,918.8,510.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,right_eye,665.7,242.3,770.1,324.5,992.1,392.8,1122.6,495.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,nose,600.2,300.3,690.6,422.5,910.2,465.4,1023.3,618.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,mouth,582.2,440.1,709.9,507.8,887.8,640.1,1047.4,724.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,forehead,473.4,190.1,794.2,474.8,751.7,327.7,1152.7,683.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,chin,478.3,335.7,794.2,570.7,757.8,509.6,1152.7,803.3,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,left_cheek,493.4,357.4,591.5,483.2,776.7,536.8,899.4,694.0,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
4,166,right_cheek,692.9,336.4,785.2,466.2,1026.2,510.5,1141.4,672.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,left_eye,501.9,243.4,606.3,329.3,787.4,394.3,917.9,501.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,right_eye,665.8,229.7,771.7,318.6,992.3,377.1,1124.6,488.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,nose,598.9,290.2,689.7,413.6,908.6,452.8,1022.1,607.0,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,mouth,589.1,434.2,706.8,507.8,896.3,632.7,1043.5,724.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,forehead,477.1,182.0,799.0,471.3,756.3,317.5,1158.8,679.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,chin,481.7,334.8,798.5,570.1,762.2,508.5,1158.2,802.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,left_cheek,493.6,350.6,591.0,479.3,777.1,528.3,898.8,689.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
5,208,right_cheek,693.1,332.8,787.0,465.3,1026.3,506.0,1143.8,671.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,left_eye,506.6,235.8,606.8,323.8,793.2,384.7,918.5,494.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,right_eye,666.1,222.9,775.0,314.3,992.7,368.7,1128.8,482.8,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,nose,598.5,284.4,689.0,407.1,908.1,445.5,1021.2,598.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,mouth,591.1,429.4,702.8,508.1,898.9,626.7,1038.5,725.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,forehead,484.8,178.9,804.2,467.5,766.1,313.7,1165.3,674.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,chin,488.4,334.9,803.2,570.0,770.4,508.6,1164.0,802.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,left_cheek,496.8,345.0,591.2,474.6,781.1,521.2,899.1,683.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
6,250,right_cheek,693.1,331.4,790.0,464.7,1026.4,504.3,1147.5,670.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,left_eye,508.9,232.8,607.2,320.4,796.2,381.0,919.0,490.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,right_eye,666.2,221.0,775.3,312.0,992.8,366.3,1129.1,480.0,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,nose,597.1,282.3,686.8,404.4,906.4,442.9,1018.5,595.6,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,mouth,590.3,427.0,697.7,508.3,897.9,623.7,1032.1,725.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,forehead,487.0,177.7,804.8,465.1,768.7,312.1,1165.9,671.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,chin,489.5,334.9,804.0,570.3,771.9,508.7,1165.1,802.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,left_cheek,497.4,341.7,590.7,471.9,781.8,517.1,898.4,679.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
7,291,right_cheek,692.8,330.7,790.2,464.4,1025.9,503.4,1147.7,670.5,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
8,333,left_eye,509.0,232.9,607.2,320.1,796.2,381.2,919.1,490.1,conscientiousness_high4_IzKWDY_QNTU.000.mp4,1280,720,23.976,367,conscientiousness,high
