frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,491.5,270.1,595.0,343.9,774.4,427.7,903.8,519.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,right_eye,656.3,241.1,782.0,323.5,980.3,391.4,1137.4,494.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,nose,593.9,307.9,687.0,424.5,902.4,474.8,1018.8,620.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,mouth,583.6,443.5,733.7,528.4,889.5,644.3,1077.1,750.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,forehead,482.5,191.5,833.8,509.5,763.1,329.4,1202.2,726.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,chin,488.8,339.3,833.8,588.5,771.0,514.2,1202.2,825.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,left_cheek,490.5,368.8,584.8,508.6,773.2,551.0,891.0,725.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
0,0,right_cheek,695.9,334.7,812.9,477.2,1029.8,508.4,1176.2,686.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,left_eye,491.7,270.0,595.1,343.5,774.6,427.4,903.8,519.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,right_eye,656.4,240.4,782.0,323.6,980.5,390.5,1137.4,494.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,nose,593.8,307.3,689.6,424.9,902.3,474.1,1022.1,621.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,mouth,583.5,443.6,735.8,529.2,889.3,644.4,1079.7,751.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,forehead,482.2,188.2,834.3,509.5,762.8,325.3,1202.8,726.8,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,chin,488.8,339.5,834.3,596.3,771.0,514.4,1202.8,835.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,left_cheek,490.5,368.4,584.9,508.7,773.1,550.5,891.1,725.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
1,33,right_cheek,696.6,334.8,814.1,478.1,1030.7,508.4,1177.7,687.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,left_eye,491.7,270.0,595.1,343.5,774.7,427.5,903.9,519.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_eye,656.5,240.4,782.0,324.0,980.6,390.4,1137.4,495.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,nose,593.3,307.3,690.7,426.1,901.6,474.1,1023.4,622.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,mouth,582.2,443.9,736.6,531.7,887.7,644.9,1080.8,754.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,forehead,482.2,187.7,835.1,509.2,762.8,324.7,1203.8,726.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,chin,488.6,339.5,835.1,598.8,770.7,514.4,1203.8,838.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,left_cheek,490.3,368.4,584.8,508.8,772.9,550.5,891.0,725.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_cheek,696.9,334.8,814.8,478.5,1031.1,508.5,1178.5,688.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_eye,491.7,270.1,595.1,343.5,774.6,427.6,903.8,519.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_eye,656.5,240.3,782.0,324.3,980.6,390.4,1137.4,495.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,nose,592.8,307.3,691.4,427.2,901.1,474.1,1024.3,623.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,mouth,580.9,444.4,737.5,533.4,886.1,645.5,1081.9,756.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,forehead,481.9,187.3,835.4,509.1,762.4,324.2,1204.3,726.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,chin,488.1,339.5,835.4,600.4,770.2,514.4,1204.3,840.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_cheek,490.0,368.4,584.7,509.0,772.5,550.5,890.9,726.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_cheek,697.1,334.8,815.2,478.9,1031.4,508.5,1179.0,688.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_eye,491.7,270.4,595.1,343.7,774.6,427.9,903.8,519.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_eye,656.4,240.4,781.9,325.2,980.5,390.5,1137.3,496.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,nose,592.0,307.4,691.4,428.4,900.0,474.3,1024.2,625.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,mouth,580.1,445.6,737.7,534.7,885.1,647.0,1082.1,758.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,forehead,481.9,187.4,835.4,509.1,762.4,324.3,1204.3,726.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,chin,488.1,339.9,835.4,601.7,770.1,514.8,1204.3,842.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_cheek,489.8,368.6,584.4,509.2,772.3,550.7,890.5,726.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_cheek,697.1,335.2,815.1,479.7,1031.4,509.0,1178.9,689.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,left_eye,491.7,270.7,595.0,343.9,774.6,428.4,903.7,519.8,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,right_eye,656.1,240.7,781.6,325.7,980.2,390.8,1137.0,497.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,nose,591.2,307.7,691.2,429.6,899.0,474.6,1024.0,627.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,mouth,579.7,446.9,737.6,536.1,884.6,648.7,1082.0,760.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,forehead,481.9,187.5,835.4,509.0,762.4,324.4,1204.2,726.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,chin,488.2,340.3,835.4,602.8,770.2,515.3,1204.2,843.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,left_cheek,489.8,368.8,584.1,509.5,772.3,551.0,890.1,726.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
5,166,right_cheek,697.1,335.8,815.1,480.7,1031.3,509.7,1178.9,690.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,left_eye,491.5,270.8,594.9,344.0,774.4,428.6,903.7,520.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,right_eye,656.1,240.8,781.9,326.2,980.1,391.0,1137.4,497.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,nose,589.9,307.9,691.1,429.9,897.4,474.8,1023.9,627.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,mouth,579.7,448.3,737.6,541.1,884.7,650.4,1082.0,766.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,forehead,481.8,187.6,836.8,508.8,762.2,324.5,1206.0,726.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,chin,488.1,340.4,836.8,606.3,770.1,515.5,1206.0,847.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,left_cheek,489.6,369.1,583.6,510.3,772.0,551.4,889.5,727.9,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
6,200,right_cheek,697.1,336.1,815.3,481.8,1031.4,510.1,1179.2,692.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,left_eye,491.8,271.6,594.9,345.0,774.7,429.4,903.7,521.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,right_eye,656.1,241.7,782.0,327.2,980.1,392.1,1137.4,499.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,nose,589.3,308.8,691.0,431.0,896.6,476.0,1023.8,628.8,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,mouth,579.9,450.1,738.1,546.4,884.9,652.6,1082.7,773.0,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,forehead,482.8,187.8,837.2,509.4,763.5,324.7,1206.5,726.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,chin,490.0,341.5,837.2,610.8,772.5,516.8,1206.5,853.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,left_cheek,490.2,370.5,583.6,512.5,772.8,553.1,889.5,730.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
7,233,right_cheek,697.1,337.1,815.4,483.8,1031.4,511.4,1179.2,694.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,left_eye,491.8,272.3,594.9,346.1,774.7,430.4,903.7,522.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,right_eye,655.9,242.4,782.0,327.7,979.9,393.0,1137.5,499.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,nose,588.8,309.5,690.9,432.2,896.0,476.9,1023.6,630.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,mouth,579.9,451.4,738.5,546.2,884.9,654.3,1083.1,772.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,forehead,483.2,187.9,838.2,509.4,764.0,324.8,1207.7,726.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,chin,490.8,341.6,838.2,611.4,773.4,517.0,1207.7,854.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,left_cheek,490.4,371.2,583.4,512.9,773.0,554.0,889.3,731.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
8,266,right_cheek,697.0,337.5,815.5,484.5,1031.3,511.9,1179.4,695.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,left_eye,492.5,272.4,595.3,346.2,775.6,430.5,904.2,522.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,right_eye,656.1,242.4,782.3,327.7,980.1,392.9,1137.9,499.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,nose,589.4,309.5,690.9,431.8,896.8,476.9,1023.6,629.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,mouth,580.2,451.3,739.8,542.6,885.2,654.1,1084.8,768.2,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,forehead,484.4,187.8,838.8,508.5,765.5,324.8,1208.5,725.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,chin,492.3,341.3,838.8,609.6,775.4,516.6,1208.5,852.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,left_cheek,491.6,371.2,583.8,512.6,774.5,554.0,889.8,730.8,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
9,300,right_cheek,697.3,337.5,816.4,484.3,1031.6,511.9,1180.5,695.3,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
10,333,left_eye,492.7,271.9,595.4,346.0,775.9,429.9,904.3,522.5,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
10,333,right_eye,655.6,241.4,782.2,327.3,979.5,391.7,1137.7,499.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
10,333,nose,589.5,308.9,690.1,430.9,896.8,476.1,1022.6,628.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,1280,720,29.97,459,conscientiousness,high
