frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,491.2,262.7,603.0,340.0,774.0,418.3,913.7,515.0,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,right_eye,659.8,239.1,768.7,319.8,984.7,388.9,1120.8,489.7,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,nose,599.6,312.2,691.2,430.5,909.5,480.2,1024.0,628.1,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,mouth,596.7,445.4,711.0,511.8,905.9,646.7,1048.8,729.7,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,forehead,475.1,189.9,801.9,451.2,753.8,327.4,1162.4,654.0,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,chin,482.8,301.5,801.9,560.5,763.5,466.9,1162.4,790.6,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,left_cheek,495.5,354.0,592.5,481.5,779.4,532.5,900.6,691.9,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
0,0,right_cheek,688.9,318.2,786.4,455.7,1021.1,487.7,1142.9,659.6,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,left_eye,489.8,261.5,598.9,339.7,772.3,416.9,908.7,514.6,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,right_eye,657.0,236.4,767.4,319.8,981.3,385.5,1119.2,489.7,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,nose,595.3,311.3,687.7,429.6,904.1,479.1,1019.6,627.0,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,mouth,594.2,444.9,708.8,508.0,902.8,646.2,1046.0,725.0,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,forehead,474.3,188.5,801.9,448.9,752.9,325.6,1162.4,651.1,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,chin,482.2,300.0,801.9,556.4,762.8,465.0,1162.4,785.5,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,left_cheek,492.7,352.4,589.0,479.4,775.9,530.5,896.2,689.2,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
1,67,right_cheek,686.9,317.3,786.0,454.8,1018.7,486.6,1142.5,658.5,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
2,134,left_eye,485.9,261.6,591.8,339.6,767.4,417.0,899.8,514.5,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
2,134,right_eye,650.1,237.8,764.5,321.7,972.6,387.2,1115.7,492.1,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
2,134,nose,584.7,311.7,678.6,431.8,890.9,479.6,1008.3,629.7,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
2,134,mouth,584.0,447.4,700.5,508.3,890.0,649.3,1035.6,725.4,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
2,134,forehead,472.7,188.4,801.8,442.0,750.9,325.6,1162.3,642.5,conscientiousness_low2_DTZeyoKUPx4.005.mp4,1280,720,14.828,227,conscientiousness,low
