frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,456.0,242.8,593.6,354.5,729.9,393.5,902.0,533.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,right_eye,680.4,242.9,797.8,348.1,1010.5,393.6,1157.3,525.2,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,nose,588.9,311.9,711.1,460.7,896.1,479.8,1048.9,665.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,mouth,568.9,497.5,719.6,560.2,871.1,711.9,1059.5,790.2,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,forehead,424.4,181.4,808.9,515.1,690.5,316.8,1171.2,733.9,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,chin,426.6,371.9,806.1,639.4,693.3,554.9,1167.6,889.2,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,left_cheek,448.4,376.7,572.1,533.2,720.5,560.8,875.1,756.5,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
0,0,right_cheek,708.5,369.8,808.7,524.7,1045.6,552.3,1170.9,745.9,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,left_eye,450.9,235.2,593.1,346.7,723.6,384.0,901.4,523.4,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,right_eye,679.4,237.4,798.1,342.5,1009.3,386.7,1157.7,518.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,nose,584.7,304.0,707.6,451.8,890.9,470.0,1044.5,654.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,mouth,562.7,483.5,719.9,564.9,863.4,694.4,1059.9,796.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,forehead,413.7,175.3,813.0,512.4,677.1,309.1,1176.2,730.5,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,chin,415.8,367.0,810.1,640.0,679.7,548.7,1172.6,890.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,left_cheek,438.9,371.1,568.2,530.5,708.7,553.9,870.2,753.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
1,100,right_cheek,707.9,364.7,809.4,521.9,1044.9,545.9,1171.8,742.4,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,left_eye,451.4,236.1,593.7,344.4,724.3,385.1,902.1,520.5,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,right_eye,678.4,240.6,797.3,343.4,1008.0,390.8,1156.6,519.3,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,nose,580.2,303.3,702.2,447.7,885.2,469.1,1037.8,649.7,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,mouth,561.0,473.6,715.3,548.2,861.2,682.0,1054.1,775.2,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,forehead,406.9,173.0,812.7,517.1,668.6,306.3,1175.8,736.3,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,chin,407.4,372.5,809.5,642.2,669.3,555.6,1171.9,892.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,left_cheek,435.2,368.2,565.8,526.0,704.0,550.2,867.2,747.5,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
2,200,right_cheek,704.7,368.8,809.4,523.2,1040.9,551.0,1171.7,744.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,left_eye,454.5,235.8,593.7,342.1,728.2,384.8,902.2,517.7,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,right_eye,676.9,241.9,797.1,344.0,1006.1,392.4,1156.4,520.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,nose,580.2,301.2,700.9,446.3,885.3,466.5,1036.1,647.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,mouth,561.7,478.0,715.6,544.0,862.2,687.5,1054.5,770.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,forehead,417.9,174.0,813.7,510.3,682.4,307.5,1177.1,727.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,chin,419.9,367.4,810.3,636.7,684.9,549.3,1172.9,885.9,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
3,300,left_cheek,440.1,364.1,566.3,520.9,710.2,545.1,867.9,741.1,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,1280,720,10.0,153,conscientiousness,low
