frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,499.0,259.6,612.0,325.6,783.8,414.5,925.0,496.9,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,right_eye,666.6,252.8,759.7,317.2,993.2,406.1,1109.6,486.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,nose,601.8,292.1,693.1,399.3,912.2,455.1,1026.4,589.2,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,mouth,575.9,425.1,713.9,518.8,879.9,621.3,1052.4,738.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,forehead,457.8,201.7,770.0,482.0,732.3,342.1,1122.5,692.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,chin,459.0,352.4,770.0,566.6,733.7,530.5,1122.5,798.3,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,left_cheek,485.0,346.3,591.4,479.7,766.3,522.9,899.2,689.6,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
0,0,right_cheek,690.0,338.0,769.2,465.2,1022.4,512.4,1121.6,671.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,left_eye,497.1,259.5,610.7,325.6,781.4,414.4,923.4,497.0,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,right_eye,666.5,251.4,759.9,317.2,993.2,404.3,1109.9,486.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,nose,600.4,290.9,694.7,399.4,910.5,453.6,1028.4,589.2,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,mouth,576.5,426.1,713.7,517.1,880.6,622.6,1052.1,736.4,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,forehead,455.8,196.8,770.1,480.9,729.7,336.0,1122.6,691.1,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,chin,457.6,351.3,770.1,567.3,732.0,529.1,1122.6,799.1,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,left_cheek,483.7,346.3,590.6,479.7,764.6,522.9,898.2,689.6,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
1,33,right_cheek,690.4,337.4,769.8,464.9,1023.0,511.7,1122.3,671.1,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,left_eye,497.2,259.5,610.0,325.8,781.5,414.4,922.5,497.2,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,right_eye,666.7,251.1,760.8,318.1,993.3,403.9,1111.0,487.7,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,nose,599.3,290.9,695.7,401.3,909.1,453.7,1029.6,591.6,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,mouth,579.7,430.3,711.8,491.0,884.7,627.9,1049.8,703.8,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,forehead,456.5,196.2,772.5,482.4,730.7,335.3,1125.7,693.0,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,chin,459.1,355.2,772.5,567.3,733.9,533.9,1125.7,799.1,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,left_cheek,484.5,346.7,590.5,480.0,765.7,523.4,898.2,690.0,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
2,66,right_cheek,690.5,339.2,770.3,467.5,1023.1,514.0,1122.9,674.4,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,left_eye,497.2,259.5,609.9,325.8,781.5,414.4,922.3,497.3,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,right_eye,666.6,251.2,760.9,318.7,993.3,404.0,1111.1,488.4,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,nose,598.8,291.0,696.1,403.6,908.5,453.7,1030.2,594.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,mouth,581.1,436.3,711.7,491.5,886.4,635.3,1049.6,704.3,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,forehead,456.6,195.4,772.4,485.2,730.7,334.3,1125.5,696.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,chin,459.1,357.7,772.4,567.6,733.9,537.1,1125.5,799.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,left_cheek,484.7,347.2,590.5,481.4,765.8,524.0,898.2,691.8,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
3,100,right_cheek,690.5,340.6,770.4,470.2,1023.1,515.8,1123.0,677.7,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
4,133,left_eye,496.8,259.2,609.8,325.6,781.0,414.0,922.3,497.1,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
4,133,right_eye,666.6,250.9,761.1,318.7,993.3,403.7,1111.4,488.4,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
4,133,nose,598.3,290.7,696.6,403.6,907.9,453.3,1030.7,594.5,dIa0U29hVvU.001.mp4,1280,720,30.0,459,conscientiousness,low
