frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,505.9,265.3,626.0,316.1,792.3,421.6,942.6,485.1,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,right_eye,676.8,273.8,767.6,334.0,1006.0,432.3,1119.5,507.5,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,nose,595.5,303.9,685.6,420.7,904.4,469.9,1017.0,615.9,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,mouth,566.3,440.3,676.8,477.2,867.9,640.3,1006.0,686.5,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,forehead,440.4,198.0,779.7,459.1,710.5,337.5,1134.6,663.8,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,chin,440.4,318.2,761.4,559.8,710.5,487.8,1111.7,789.8,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,left_cheek,477.0,326.1,591.9,456.5,756.3,497.6,899.8,660.7,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
0,0,right_cheek,686.0,353.4,765.0,472.2,1017.5,531.7,1116.3,680.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,left_eye,505.9,265.9,627.5,319.1,792.3,422.4,944.3,488.9,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,right_eye,678.5,275.5,773.9,334.0,1008.1,434.4,1127.3,507.5,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,nose,594.5,304.4,682.8,420.9,903.2,470.5,1013.5,616.1,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,mouth,566.3,442.1,677.2,476.8,867.9,642.7,1006.5,686.0,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,forehead,440.5,196.2,787.2,453.6,710.6,335.3,1144.0,657.1,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,chin,440.5,316.8,770.3,551.4,710.6,486.0,1122.9,779.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,left_cheek,477.0,326.1,591.7,455.3,756.2,497.6,899.7,659.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
1,33,right_cheek,686.0,351.2,771.0,469.0,1017.5,529.0,1123.7,676.3,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,left_eye,506.5,267.2,629.0,321.3,793.2,423.9,946.2,491.7,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,right_eye,678.7,276.3,773.3,333.9,1008.4,435.3,1126.6,507.3,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,nose,594.5,304.8,682.3,420.9,903.1,471.0,1012.8,616.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,mouth,564.8,442.8,677.2,478.0,866.0,643.4,1006.5,687.5,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,forehead,440.5,195.5,786.1,450.3,710.6,334.4,1142.7,652.9,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,chin,440.5,314.1,769.1,552.2,710.6,482.7,1121.4,780.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,left_cheek,476.9,325.9,591.7,455.3,756.1,497.3,899.7,659.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
2,66,right_cheek,685.8,348.6,770.2,467.5,1017.3,525.7,1122.7,674.4,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,left_eye,506.5,266.4,630.1,320.8,793.2,423.0,947.6,491.0,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,right_eye,680.0,276.3,776.3,333.2,1010.0,435.3,1130.3,506.5,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,nose,594.2,304.6,682.3,420.6,902.8,470.7,1012.9,615.8,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,mouth,563.1,442.7,677.2,478.9,863.9,643.3,1006.5,688.6,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,forehead,440.8,194.3,789.2,448.4,711.0,332.8,1146.6,650.4,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,chin,440.8,311.3,771.2,549.6,711.0,479.2,1124.1,777.0,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,left_cheek,477.1,324.1,591.7,453.4,756.3,495.1,899.7,656.7,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
3,100,right_cheek,686.0,347.9,771.3,466.3,1017.5,524.8,1124.1,672.9,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
4,133,left_eye,507.2,267.0,630.6,322.3,794.0,423.7,948.2,492.9,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
4,133,right_eye,679.8,276.3,775.2,333.0,1009.8,435.3,1129.0,506.2,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
4,133,nose,594.2,304.9,682.4,420.6,902.8,471.1,1013.0,615.8,emotional_stability_high4_PHv6CzBIC5E.001.mp4,1280,720,30.0,459,emotional_stability,high
