frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,507.7,249.8,623.7,328.6,794.6,402.3,939.6,500.8,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_eye,680.5,259.5,792.1,338.2,1010.6,414.4,1150.1,512.7,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,nose,604.3,307.4,693.4,423.5,915.4,474.2,1026.8,619.3,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,mouth,574.7,440.5,704.2,517.2,878.4,640.7,1040.2,736.4,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,forehead,473.6,196.8,812.2,465.7,752.0,336.0,1175.2,672.1,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,chin,475.1,335.0,809.0,567.9,753.8,508.8,1171.3,799.8,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,left_cheek,491.9,338.3,596.0,467.5,774.8,512.9,905.1,674.4,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_cheek,700.2,355.5,798.0,479.6,1035.3,534.4,1157.4,689.6,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,left_eye,507.1,249.8,623.6,328.6,793.9,402.3,939.6,500.7,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,right_eye,680.4,259.5,791.4,338.2,1010.6,414.3,1149.2,512.7,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,nose,603.6,306.2,693.2,423.5,914.5,472.8,1026.5,619.3,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,mouth,574.5,440.5,704.2,517.3,878.1,640.7,1040.2,736.6,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,forehead,472.9,196.0,811.0,465.7,751.1,334.9,1173.8,672.1,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,chin,474.6,335.7,807.8,568.1,753.3,509.6,1169.8,800.1,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,left_cheek,491.4,338.4,595.7,467.5,774.2,513.0,904.6,674.4,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
1,33,right_cheek,700.1,355.5,797.7,479.6,1035.2,534.4,1157.1,689.5,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
2,66,left_eye,507.0,249.7,623.6,328.5,793.7,402.2,939.6,500.7,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
2,66,right_eye,680.4,259.5,790.5,338.0,1010.5,414.3,1148.1,512.4,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
2,66,nose,603.5,305.7,692.9,423.4,914.4,472.2,1026.1,619.3,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
2,66,mouth,574.4,440.5,704.2,517.4,878.0,640.7,1040.2,736.8,emotional_stability_low2_7QeVs-mXmcI.003.mp4,1280,720,29.97,459,emotional_stability,low
