frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,512.4,238.7,602.3,322.5,800.5,388.3,912.9,493.1,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_eye,662.1,245.4,786.9,333.4,987.6,396.8,1143.7,506.8,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,nose,575.4,301.7,664.9,426.9,879.3,467.2,991.1,623.6,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,mouth,553.9,451.4,695.5,527.1,852.4,654.2,1029.4,748.9,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,forehead,500.4,185.8,834.3,486.0,785.5,322.2,1202.9,697.5,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,chin,503.1,340.1,834.3,582.9,788.9,515.1,1202.9,818.6,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,left_cheek,496.9,339.0,578.9,477.6,781.1,513.8,883.6,687.1,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_cheek,681.7,358.9,803.0,497.1,1012.2,538.6,1163.7,711.4,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,left_eye,512.7,236.2,603.0,323.1,800.9,385.3,913.7,493.9,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,right_eye,661.6,244.4,787.2,333.5,987.0,395.5,1144.0,506.9,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,nose,575.6,301.7,664.0,427.6,879.5,467.1,990.0,624.5,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,mouth,555.7,452.6,693.5,526.7,854.6,655.7,1026.9,748.4,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,forehead,505.1,183.3,835.3,486.0,791.3,319.1,1204.2,697.5,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,chin,508.2,338.4,835.3,583.5,795.3,513.1,1204.2,819.3,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,left_cheek,498.9,338.7,578.9,477.8,783.6,513.4,883.7,687.2,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
1,33,right_cheek,681.6,359.2,803.1,498.2,1012.0,539.0,1163.8,712.7,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
2,66,left_eye,515.1,235.1,604.6,323.2,803.9,383.9,915.7,494.0,emotional_stability_low4_OLFhKCgexRU.000.mp4,1280,720,29.97,459,emotional_stability,low
