frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,515.8,258.7,612.0,331.9,804.8,413.3,925.1,504.9,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_eye,664.3,281.0,774.3,346.4,990.4,441.3,1127.9,523.0,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,nose,585.3,320.4,671.4,440.8,891.6,490.6,999.2,641.0,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,mouth,578.4,461.8,672.8,520.2,883.0,667.2,1000.9,740.3,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,forehead,497.9,204.9,810.9,458.3,782.3,346.1,1173.6,662.8,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,chin,500.0,315.3,808.9,566.6,785.1,484.1,1171.1,798.3,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,left_cheek,505.2,332.0,590.8,464.6,791.5,505.1,898.5,670.8,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_cheek,677.9,361.2,783.5,488.3,1007.4,541.5,1139.4,700.3,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_eye,513.9,258.4,606.2,330.0,802.4,413.0,917.8,502.5,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,right_eye,659.7,280.6,773.6,346.8,984.7,440.8,1127.0,523.5,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,nose,581.0,320.2,668.6,439.5,886.2,490.3,995.8,639.3,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,mouth,578.1,456.9,672.6,525.6,882.6,661.1,1000.8,746.9,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,forehead,498.9,204.8,813.4,461.6,783.6,346.0,1176.7,667.0,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,chin,502.0,314.8,812.0,572.4,787.4,483.5,1175.0,805.5,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_cheek,503.8,330.7,587.4,464.0,789.7,503.3,894.2,670.0,emotional_stability_low5_f8eU5Pc-y0g.004.mp4,1280,720,23.976,367,emotional_stability,low
