frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,495.7,265.8,600.3,351.2,779.6,422.2,910.4,528.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,right_eye,657.6,248.6,775.3,330.2,982.0,400.8,1129.2,502.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,nose,590.3,304.7,689.3,413.1,897.9,470.9,1021.6,606.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,mouth,574.7,428.8,735.4,523.9,878.3,626.0,1079.3,744.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,forehead,475.5,208.1,824.7,516.3,754.3,350.2,1190.9,735.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,chin,479.1,366.9,824.7,587.5,758.8,548.6,1190.9,824.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,left_cheek,487.9,365.5,584.8,500.1,769.9,546.9,891.0,715.1,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
0,0,right_cheek,694.5,343.5,806.0,473.8,1028.1,519.4,1167.5,682.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,left_eye,495.7,265.8,600.7,351.6,779.6,422.2,910.9,529.5,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,right_eye,657.6,248.3,775.4,329.8,982.0,400.4,1129.2,502.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,nose,589.7,303.8,689.9,413.1,897.1,469.7,1022.4,606.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,mouth,574.7,428.7,736.3,524.2,878.3,625.9,1080.4,745.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,forehead,474.0,202.3,825.0,517.3,752.6,342.8,1191.2,736.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,chin,477.5,364.8,825.0,589.3,756.9,546.0,1191.2,826.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,left_cheek,487.7,365.6,584.8,500.6,769.6,546.9,891.0,715.7,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
1,41,right_cheek,694.9,342.6,806.9,473.6,1028.6,518.3,1168.6,682.0,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,left_eye,495.4,265.8,600.8,352.3,779.3,422.3,911.0,530.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,right_eye,658.0,248.8,777.3,329.3,982.4,400.9,1131.6,501.7,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,nose,589.6,303.8,690.9,415.5,897.0,469.8,1023.7,609.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,mouth,575.1,430.6,736.3,525.6,878.9,628.3,1080.4,747.0,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,forehead,472.9,201.0,827.0,517.2,751.1,341.3,1193.8,736.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,chin,475.9,361.4,827.0,591.8,754.8,541.7,1193.8,829.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,left_cheek,486.7,366.5,584.6,502.3,768.4,548.1,890.8,717.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
2,83,right_cheek,696.3,342.4,809.5,473.6,1030.3,518.0,1171.9,682.0,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,left_eye,495.9,266.7,601.7,352.4,779.9,423.4,912.1,530.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,right_eye,658.3,249.9,778.6,329.3,982.8,402.4,1133.2,501.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,nose,589.6,304.7,692.0,418.6,897.0,470.9,1025.0,613.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,mouth,578.0,433.3,736.4,525.5,882.5,631.6,1080.5,746.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,forehead,473.5,201.0,828.6,517.1,751.9,341.2,1195.7,736.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,chin,476.3,360.3,828.6,592.2,755.4,540.3,1195.7,830.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,left_cheek,486.9,367.8,584.7,503.5,768.7,549.7,890.9,719.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
3,125,right_cheek,697.6,342.4,811.3,473.8,1032.0,518.0,1174.1,682.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,left_eye,496.2,270.8,602.3,354.0,780.3,428.5,912.9,532.5,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,right_eye,658.3,252.3,779.0,330.7,982.8,405.4,1133.8,503.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,nose,590.2,307.3,691.9,422.8,897.8,474.1,1024.9,618.5,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,mouth,580.0,437.6,736.5,525.3,885.0,637.0,1080.6,746.7,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,forehead,473.6,200.7,829.0,518.1,752.0,340.9,1196.3,737.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,chin,476.4,360.2,829.0,591.9,755.5,540.2,1196.3,829.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,left_cheek,487.4,371.4,585.1,506.0,769.3,554.2,891.4,722.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
4,166,right_cheek,697.8,343.9,811.6,475.4,1032.3,519.8,1174.5,684.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,left_eye,497.6,276.6,604.6,358.7,782.0,435.8,915.7,538.4,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,right_eye,658.3,258.1,778.9,336.0,982.8,412.7,1133.6,510.0,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,nose,592.3,312.4,692.5,429.5,900.4,480.5,1025.6,626.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,mouth,583.7,444.2,736.9,528.6,889.6,645.3,1081.1,750.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,forehead,473.6,201.1,830.6,525.0,752.0,341.3,1198.2,746.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,chin,476.5,361.4,830.6,599.7,755.6,541.7,1198.2,839.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,left_cheek,488.8,377.5,587.0,513.8,771.0,561.9,893.7,732.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
5,208,right_cheek,698.6,348.8,813.0,483.0,1033.3,526.0,1176.3,693.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,left_eye,498.4,286.6,606.8,367.0,783.0,448.3,918.5,548.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,right_eye,658.8,266.4,779.6,343.7,983.5,423.0,1134.5,519.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,nose,595.6,321.6,694.5,440.7,904.5,492.0,1028.1,640.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,mouth,587.8,455.5,738.7,539.9,894.7,659.3,1083.3,764.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,forehead,473.7,206.9,833.5,528.8,752.1,348.6,1201.8,750.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,chin,476.6,362.5,833.5,607.0,755.7,543.1,1201.8,848.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,left_cheek,490.1,386.7,589.5,521.9,772.7,573.4,896.8,742.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
6,250,right_cheek,700.4,354.8,815.1,490.3,1035.5,533.5,1178.9,702.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,left_eye,498.4,294.7,607.9,373.2,783.0,458.4,919.8,556.5,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,right_eye,659.8,273.1,781.0,350.5,984.8,431.3,1136.3,528.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,nose,596.9,329.2,696.3,450.0,906.1,501.5,1030.4,652.5,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,mouth,589.4,463.9,740.7,551.0,896.7,669.9,1085.8,778.8,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,forehead,472.5,213.2,835.2,533.8,750.6,356.5,1204.1,757.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,chin,475.4,364.6,835.2,617.3,754.2,545.8,1204.1,861.6,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,left_cheek,490.1,393.6,590.4,529.7,772.6,582.0,898.0,752.1,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
7,291,right_cheek,701.9,360.0,817.0,497.8,1037.4,540.0,1181.3,712.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,left_eye,501.2,299.7,609.3,377.8,786.5,464.6,921.6,562.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,right_eye,661.2,277.8,782.2,355.3,986.5,437.3,1137.7,534.1,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,nose,599.2,334.3,697.2,455.0,909.0,507.9,1031.4,658.7,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,mouth,590.2,469.0,741.7,555.1,897.7,676.3,1087.2,783.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,forehead,475.7,217.9,836.3,535.9,754.7,362.4,1205.4,759.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,chin,478.8,368.8,836.3,623.2,758.5,551.0,1205.4,869.0,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,left_cheek,492.8,397.9,592.6,532.7,775.9,587.4,900.7,755.9,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
8,333,right_cheek,702.9,364.7,817.4,502.6,1038.6,545.9,1181.8,718.2,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
9,375,left_eye,503.1,303.6,611.2,381.0,788.9,469.5,924.0,566.3,extraversion_high4_84emxO86qa8.001.mp4,1280,720,23.976,367,extraversion,high
