frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,496.0,241.1,593.1,320.1,780.0,391.4,901.3,490.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,right_eye,656.2,248.8,788.0,325.8,980.3,400.9,1145.0,497.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,nose,567.6,297.4,667.7,419.8,869.4,461.8,994.6,614.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,mouth,553.5,437.9,705.0,533.9,851.9,637.3,1041.2,757.4,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,forehead,489.4,184.6,838.1,475.1,771.7,320.7,1207.6,683.9,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,chin,492.9,339.6,835.7,589.3,776.1,514.6,1204.6,826.6,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,left_cheek,484.9,337.3,570.1,474.6,766.1,511.6,872.7,683.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
0,0,right_cheek,682.2,348.7,803.6,486.4,1012.8,525.9,1164.4,698.0,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,left_eye,496.0,241.1,593.1,320.2,780.0,391.4,901.4,490.3,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,right_eye,655.8,248.8,787.1,326.3,979.8,401.0,1143.9,497.9,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,nose,567.6,297.7,666.7,420.8,869.5,462.2,993.4,616.0,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,mouth,553.8,438.9,703.2,533.9,852.2,638.6,1038.9,757.4,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,forehead,489.0,184.4,837.8,476.1,771.3,320.5,1207.2,685.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,chin,492.0,339.2,835.2,590.9,775.0,514.0,1204.0,828.6,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,left_cheek,484.6,337.2,570.1,475.2,765.7,511.5,872.7,684.0,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
1,33,right_cheek,681.7,349.7,803.3,488.5,1012.1,527.2,1164.1,700.6,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,left_eye,496.0,241.2,593.1,320.7,780.0,391.6,901.4,490.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,right_eye,655.1,248.8,786.3,326.9,978.9,401.0,1142.9,498.6,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,nose,568.7,298.6,664.3,422.2,870.8,463.3,990.4,617.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,mouth,554.7,443.1,697.6,534.3,853.4,643.9,1032.0,757.9,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,forehead,488.9,184.4,837.3,476.6,771.2,320.4,1206.7,685.7,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,chin,491.8,338.7,834.7,592.8,774.8,513.4,1203.4,831.0,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,left_cheek,484.8,337.3,570.2,476.9,766.0,511.6,872.8,686.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
2,66,right_cheek,680.4,351.2,802.7,491.1,1010.5,529.0,1163.4,703.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,left_eye,496.0,241.3,593.1,320.8,780.1,391.6,901.4,491.1,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,right_eye,654.8,248.9,785.6,327.4,978.5,401.1,1142.0,499.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,nose,570.7,299.1,662.3,424.4,873.4,463.9,987.9,620.5,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,mouth,558.3,448.6,691.4,533.0,857.8,650.7,1024.2,756.3,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,forehead,489.0,183.8,836.6,476.7,771.3,319.7,1205.8,685.9,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,chin,491.8,338.0,833.9,592.7,774.8,512.5,1202.4,830.9,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,left_cheek,485.2,337.6,570.8,479.0,766.5,511.9,873.5,688.7,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
3,100,right_cheek,679.5,352.4,802.2,493.8,1009.3,530.5,1162.8,707.2,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,left_eye,496.0,241.3,592.7,322.3,780.0,391.6,900.9,492.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,right_eye,653.7,248.9,784.3,327.5,977.1,401.2,1140.4,499.4,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,nose,571.0,300.2,660.5,427.9,873.7,465.3,985.7,624.8,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,mouth,561.3,456.8,684.0,524.8,861.6,661.0,1015.0,746.0,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,forehead,489.1,183.5,835.9,476.2,771.4,319.3,1204.8,685.3,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,chin,492.1,338.0,833.1,586.6,775.1,512.5,1201.3,823.3,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,left_cheek,485.4,338.9,570.9,480.6,766.8,513.6,873.7,690.7,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
4,133,right_cheek,678.0,352.9,801.1,494.0,1007.5,531.1,1161.3,707.5,extraversion_high5_FxVUG2R1y0Q.004.mp4,1280,720,29.97,459,extraversion,high
