frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,491.8,239.3,615.4,321.1,774.8,389.2,929.2,491.4,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,right_eye,669.6,233.0,759.4,315.1,997.0,381.2,1109.2,483.9,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,nose,598.6,292.3,702.9,425.8,908.3,455.3,1038.6,622.3,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,mouth,576.5,453.6,702.4,506.1,880.6,657.0,1038.1,722.6,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,forehead,442.4,187.0,759.8,443.0,712.9,323.7,1109.7,643.8,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,chin,444.0,316.0,744.5,554.8,715.0,485.0,1090.7,783.5,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,left_cheek,477.4,338.3,591.9,470.3,756.7,512.9,899.9,677.8,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
0,0,right_cheek,691.1,324.5,760.9,457.2,1023.9,495.7,1111.1,661.5,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
1,33,left_eye,488.9,239.3,612.8,321.0,771.1,389.1,926.0,491.3,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
1,33,right_eye,667.0,230.4,757.3,313.5,993.7,378.0,1106.6,481.9,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
1,33,nose,596.6,290.2,702.1,423.5,905.8,452.8,1037.6,619.3,extraversion_low4_3zAyM2edy1g.004.mp4,1280,720,30.0,459,extraversion,low
