frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,513.8,238.0,632.7,333.7,802.3,387.4,950.9,507.2,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,right_eye,677.4,264.7,780.9,362.5,1006.8,420.9,1136.1,543.2,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,nose,599.5,313.0,684.5,432.7,909.4,481.2,1015.6,630.9,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,mouth,555.7,447.1,690.7,532.4,854.7,648.9,1023.4,755.5,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,forehead,459.6,209.6,788.4,506.8,734.6,352.0,1145.5,723.6,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,chin,459.6,345.2,777.1,579.2,734.6,521.5,1131.4,814.0,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,left_cheek,481.3,341.7,591.1,476.3,761.7,517.2,898.8,685.3,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
0,0,right_cheek,692.0,381.3,777.9,508.7,1025.0,566.7,1132.3,725.9,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,left_eye,513.9,237.8,632.6,333.7,802.3,387.2,950.8,507.1,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,right_eye,678.1,254.4,779.5,359.0,1007.6,408.0,1134.3,538.7,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,nose,599.5,307.5,686.7,431.3,909.3,474.3,1018.4,629.2,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,mouth,565.1,447.4,691.6,529.6,866.3,649.2,1024.5,752.0,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,forehead,460.5,196.3,787.9,502.9,735.6,335.4,1144.9,718.7,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,chin,460.5,346.2,776.9,579.7,735.6,522.7,1131.1,814.6,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,left_cheek,484.4,341.9,591.4,477.5,765.5,517.4,899.2,686.9,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
1,40,right_cheek,693.0,377.4,778.2,505.8,1026.3,561.7,1132.7,722.3,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
2,80,left_eye,514.0,237.4,632.6,333.0,802.5,386.7,950.8,506.2,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
2,80,right_eye,678.8,251.4,779.5,356.0,1008.5,404.3,1134.4,535.0,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
2,80,nose,599.6,305.9,687.7,431.4,909.5,472.3,1019.6,629.2,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
2,80,mouth,570.5,447.7,692.1,522.4,873.1,649.6,1025.1,743.0,h9jIdLBaMEo.002.mp4,1280,720,25.0,383,openness,high
