frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,505.1,249.2,640.3,318.7,791.4,401.5,960.3,488.3,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,right_eye,690.1,298.2,790.6,352.8,1022.6,462.7,1148.3,531.0,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,nose,596.4,317.8,702.7,428.4,905.5,487.3,1038.4,625.5,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,mouth,536.1,443.5,685.3,542.4,830.1,644.4,1016.7,768.0,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,forehead,428.4,196.2,799.1,480.0,695.5,335.2,1158.8,689.9,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,chin,428.4,299.2,774.4,584.4,695.5,464.0,1128.1,820.5,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,left_cheek,459.1,312.0,592.9,455.5,733.9,480.0,901.2,659.4,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
0,0,right_cheek,701.1,372.3,782.4,499.5,1036.4,555.4,1138.0,714.4,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,left_eye,505.3,252.7,640.8,322.8,791.7,405.9,961.0,493.5,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,right_eye,691.6,305.1,796.3,358.5,1024.5,471.4,1155.3,538.1,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,nose,597.7,323.4,705.1,432.3,907.2,494.2,1041.4,630.4,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,mouth,535.1,446.8,688.9,552.7,828.8,648.5,1021.2,780.8,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,forehead,428.0,200.4,805.5,482.7,695.0,340.5,1166.8,693.4,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,chin,428.0,299.9,782.7,593.5,695.0,464.9,1138.4,831.9,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
1,33,left_cheek,458.8,314.8,593.7,459.2,733.6,483.6,902.1,664.0,iJGHwoJKEpA.002.mp4,1280,720,30.0,459,conscientiousness,low
