frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
2,66,left_eye,507.6,242.4,619.9,338.6,794.5,392.9,934.9,513.3,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_eye,670.6,248.3,773.5,343.3,998.2,400.4,1126.9,519.1,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,nose,604.2,306.8,683.5,429.3,915.3,473.5,1014.3,626.6,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,mouth,580.2,443.7,691.1,506.9,885.2,644.6,1023.9,723.7,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,forehead,469.1,199.2,786.4,469.3,746.4,339.0,1142.9,676.6,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,chin,469.9,348.7,778.9,565.4,747.4,525.9,1133.6,796.7,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,left_cheek,491.1,349.1,594.0,477.5,773.9,526.4,902.5,686.9,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
2,66,right_cheek,689.7,357.4,776.1,481.7,1022.1,536.7,1130.1,692.1,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_eye,512.3,240.1,625.8,337.6,800.3,390.1,942.2,512.0,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_eye,674.3,248.0,777.2,342.8,1002.8,400.0,1131.5,518.5,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,nose,609.4,305.4,686.0,428.6,921.7,471.8,1017.5,625.8,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,mouth,586.0,443.7,693.3,504.4,892.5,644.6,1026.6,720.6,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,forehead,471.1,195.9,789.8,468.3,748.9,334.8,1147.2,675.4,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,chin,471.2,345.6,781.2,566.0,749.0,522.0,1136.4,797.5,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,left_cheek,494.1,347.3,598.6,476.9,777.6,524.1,908.2,686.1,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
3,100,right_cheek,692.8,356.9,779.2,481.5,1026.0,536.1,1134.0,691.9,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_eye,518.5,234.2,633.9,333.8,808.1,382.8,952.4,507.2,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_eye,680.9,245.5,780.0,340.9,1011.2,396.9,1135.0,516.2,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,nose,617.3,302.2,692.6,425.0,931.6,467.8,1025.8,621.2,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,mouth,594.6,442.1,699.1,497.5,903.2,642.7,1033.8,711.9,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,forehead,472.9,191.3,790.6,468.3,751.1,329.1,1148.2,675.4,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,chin,472.9,344.7,781.6,566.0,751.1,520.9,1137.0,797.5,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,left_cheek,498.9,345.0,605.6,475.0,783.6,521.2,917.0,683.8,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
4,133,right_cheek,698.7,356.3,782.0,480.3,1033.4,535.3,1137.5,690.4,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,left_eye,523.8,227.6,640.6,329.7,814.7,374.5,960.8,502.1,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,right_eye,688.0,243.0,786.2,339.7,1020.0,393.8,1142.8,514.6,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,nose,622.7,300.0,698.6,420.2,938.4,465.0,1033.3,615.3,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,mouth,600.5,438.4,705.2,496.8,910.7,638.0,1041.5,711.0,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,forehead,475.2,189.2,792.6,467.7,754.0,326.5,1150.7,674.6,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,chin,475.2,341.6,783.7,566.0,754.0,517.0,1139.6,797.4,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
5,166,left_cheek,502.9,340.7,611.0,472.0,788.6,515.9,923.7,680.0,jjFzwsootdM.000.mp4,1280,720,29.97,459,conscientiousness,high
