frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,523.7,236.0,613.0,330.8,814.7,385.0,926.3,503.5,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,right_eye,663.9,241.4,781.1,335.9,989.9,391.7,1136.4,509.8,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,nose,580.3,300.1,668.9,432.5,885.3,465.1,996.2,630.7,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,mouth,563.8,442.9,693.9,518.2,864.7,643.6,1027.4,737.7,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,forehead,507.8,188.0,834.8,482.3,794.8,325.0,1203.6,692.8,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,chin,508.1,339.6,833.5,570.8,795.1,514.5,1201.9,803.4,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,left_cheek,498.6,340.2,583.7,470.7,783.3,515.2,889.7,678.4,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
0,0,right_cheek,683.8,358.0,800.4,490.2,1014.8,537.5,1160.4,702.8,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,left_eye,523.4,235.8,612.4,330.2,814.3,384.8,925.5,502.7,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,right_eye,662.4,240.9,779.5,335.5,988.0,391.2,1134.4,509.4,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,nose,579.9,299.5,666.0,431.4,884.9,464.3,992.5,629.2,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,mouth,561.5,442.5,691.4,514.7,861.8,643.1,1024.2,733.4,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,forehead,507.1,185.7,833.5,482.3,793.9,322.1,1201.9,692.8,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,chin,507.3,339.2,831.5,570.6,794.1,514.0,1199.4,803.3,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,left_cheek,498.2,339.2,583.2,470.0,782.8,514.0,889.0,677.5,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
1,33,right_cheek,681.9,357.8,798.4,489.9,1012.4,537.3,1158.1,702.4,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,left_eye,522.4,235.6,612.0,329.4,813.0,384.6,925.0,501.7,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,right_eye,661.5,240.8,777.0,335.1,986.9,391.0,1131.2,508.9,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,nose,579.9,298.8,665.3,429.0,884.9,463.5,991.6,626.2,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,mouth,560.2,439.9,690.7,511.6,860.3,639.9,1023.3,729.5,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,forehead,504.6,185.3,829.3,481.9,790.8,321.6,1196.6,692.3,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,chin,505.0,339.2,826.9,569.4,791.3,514.0,1193.6,801.8,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,left_cheek,497.8,338.6,582.9,468.7,782.2,513.3,888.6,675.9,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
2,66,right_cheek,680.8,357.1,795.4,488.1,1011.1,536.4,1154.3,700.1,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
3,100,left_eye,519.5,233.9,611.7,327.1,809.4,382.4,924.6,498.9,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
3,100,right_eye,661.0,239.2,775.2,333.2,986.3,389.0,1129.1,506.5,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
3,100,nose,579.9,296.6,664.7,426.4,884.9,460.7,990.9,623.0,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
3,100,mouth,557.7,436.9,689.7,508.9,857.1,636.1,1022.2,726.1,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
3,100,forehead,497.9,183.6,824.4,480.7,782.4,319.6,1190.5,690.9,l3RE0rN7oEg.003.mp4,1280,720,29.97,459,agreeableness,high
