frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,483.2,255.5,598.2,331.9,764.0,409.4,907.7,504.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_eye,665.2,238.5,779.4,316.5,991.5,388.2,1134.2,485.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,nose,594.4,298.0,692.4,423.2,903.0,462.5,1025.5,619.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,mouth,564.4,446.9,728.8,516.8,865.5,648.6,1071.0,736.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,forehead,454.7,185.8,807.4,481.8,728.4,322.2,1169.3,692.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,chin,457.1,336.1,807.4,576.8,731.4,510.1,1169.3,811.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,left_cheek,474.2,353.9,582.2,486.5,752.8,532.4,887.8,698.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
0,0,right_cheek,695.4,333.2,798.2,468.3,1029.3,506.6,1157.8,675.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_eye,483.2,257.1,598.2,333.4,764.0,411.4,907.8,506.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,right_eye,665.3,239.6,780.6,318.9,991.7,389.5,1135.8,488.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,nose,594.4,299.3,692.4,426.2,903.0,464.1,1025.5,622.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,mouth,564.4,448.9,729.0,523.2,865.5,651.2,1071.2,744.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,forehead,456.1,185.4,807.8,485.1,730.1,321.8,1169.7,696.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,chin,458.6,339.2,807.8,584.5,733.2,514.0,1169.7,820.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,left_cheek,474.5,356.5,582.3,490.1,753.1,535.6,887.8,702.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
1,41,right_cheek,695.7,335.5,799.5,471.5,1029.6,509.4,1159.3,679.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,left_eye,483.4,257.8,599.5,335.4,764.2,412.3,909.4,509.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,right_eye,667.5,242.7,784.1,325.5,994.4,393.4,1140.1,496.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,nose,594.5,302.8,693.0,430.5,903.1,468.5,1026.2,628.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,mouth,564.8,453.3,729.8,535.2,866.0,656.6,1072.2,759.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,forehead,456.1,184.4,810.6,486.7,730.1,320.6,1173.3,698.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,chin,458.8,340.0,810.6,592.7,733.5,515.0,1173.3,830.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,left_cheek,474.5,359.6,582.5,496.0,753.2,539.6,888.2,710.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
2,83,right_cheek,697.1,339.0,801.9,479.7,1031.4,513.8,1162.3,689.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,left_eye,483.4,259.6,599.5,339.3,764.2,414.5,909.4,514.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,right_eye,667.4,247.3,785.0,332.0,994.3,399.2,1141.3,505.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,nose,591.2,307.3,692.4,436.6,899.1,474.1,1025.5,635.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,mouth,562.7,458.1,729.3,545.0,863.3,662.6,1071.6,771.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,forehead,456.0,184.8,814.8,487.1,730.0,321.0,1178.5,698.9,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,chin,458.8,343.0,814.8,602.2,733.5,518.8,1178.5,842.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,left_cheek,474.2,361.3,581.1,499.5,752.7,541.7,886.4,714.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
3,125,right_cheek,697.0,344.3,802.7,487.1,1031.3,520.4,1163.4,698.9,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,left_eye,484.6,259.7,600.6,341.1,765.7,414.6,910.8,516.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,right_eye,669.4,250.9,788.6,335.5,996.8,403.6,1145.8,509.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,nose,591.1,309.3,692.9,440.4,898.8,476.6,1026.1,640.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,mouth,562.8,462.6,729.4,550.4,863.5,668.3,1071.8,778.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,forehead,456.9,185.5,820.0,487.1,731.2,321.9,1185.0,698.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,chin,459.7,344.6,820.0,605.4,734.6,520.8,1185.0,846.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,left_cheek,474.5,361.2,581.2,500.7,753.1,541.5,886.5,715.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
4,166,right_cheek,698.1,347.7,805.6,491.3,1032.6,524.6,1167.0,704.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,left_eye,488.7,259.3,604.1,341.3,770.9,414.1,915.1,516.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,right_eye,673.5,253.6,794.2,337.8,1001.8,407.0,1152.7,512.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,nose,591.2,310.2,693.6,441.2,899.0,477.7,1027.0,641.5,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,mouth,563.2,464.1,729.4,553.7,864.0,670.2,1071.7,782.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,forehead,461.0,186.7,825.9,486.2,736.2,323.4,1192.3,697.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,chin,463.1,349.0,825.9,608.9,738.9,526.3,1192.3,851.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,left_cheek,476.8,360.7,582.1,500.6,756.0,540.9,887.7,715.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
5,208,right_cheek,700.3,352.1,809.4,496.0,1035.4,530.1,1171.7,710.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,left_eye,496.8,254.3,608.4,340.3,780.9,407.9,920.5,515.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,right_eye,677.2,253.5,799.2,336.5,1006.6,406.9,1159.0,510.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,nose,590.9,309.0,693.6,438.9,898.7,476.2,1026.9,638.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,mouth,563.2,461.9,729.2,553.0,864.0,667.4,1071.5,781.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,forehead,471.1,186.7,833.2,481.8,748.8,323.4,1201.4,692.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,chin,472.1,352.4,833.0,608.9,750.1,530.5,1201.3,851.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,left_cheek,483.1,354.2,583.9,499.3,763.9,532.7,889.9,714.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
6,250,right_cheek,701.7,353.8,813.1,497.3,1037.1,532.3,1176.4,711.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,left_eye,501.1,249.8,611.5,336.8,786.4,402.2,924.3,511.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,right_eye,679.5,253.2,803.0,337.0,1009.4,406.5,1163.7,511.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,nose,589.3,307.3,693.2,437.3,896.6,474.1,1026.5,636.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,mouth,563.0,459.0,727.9,553.4,863.8,663.7,1069.9,781.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,forehead,476.9,185.5,841.0,486.9,756.1,321.8,1211.3,698.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,chin,477.2,349.5,840.4,610.3,756.4,526.9,1210.5,852.9,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,left_cheek,484.7,348.9,584.3,494.6,765.9,526.1,890.3,708.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
7,291,right_cheek,702.6,356.3,817.4,499.2,1038.2,535.3,1181.7,714.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,left_eye,504.8,245.1,613.1,332.0,791.0,396.4,926.4,504.9,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,right_eye,680.5,253.3,805.2,336.8,1010.6,406.6,1166.5,511.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,nose,586.2,304.5,689.5,434.3,892.8,470.6,1021.8,632.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,mouth,562.1,454.1,722.9,551.3,862.6,657.6,1063.7,779.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,forehead,480.7,183.2,845.3,489.7,760.9,319.0,1216.6,702.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,chin,480.7,344.1,843.7,609.4,760.9,520.1,1214.6,851.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,left_cheek,484.9,343.0,584.2,489.0,766.1,518.8,890.2,701.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
8,333,right_cheek,702.2,359.3,819.1,501.4,1037.7,539.2,1183.9,716.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,left_eye,509.4,238.2,614.8,327.1,796.7,387.8,928.4,498.8,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,right_eye,681.1,250.4,806.3,335.7,1011.4,403.0,1167.8,509.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,nose,584.9,299.1,685.3,428.2,891.1,463.9,1016.6,625.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,mouth,560.9,448.8,718.6,550.0,861.1,651.0,1058.3,777.5,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,forehead,485.2,178.2,848.1,493.9,766.5,312.8,1220.1,707.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,chin,485.2,341.4,845.8,608.1,766.5,516.7,1217.2,850.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,left_cheek,486.3,338.1,584.1,484.5,767.8,512.7,890.2,695.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
9,375,right_cheek,702.0,359.0,819.7,502.1,1037.5,538.7,1184.7,717.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,left_eye,510.7,232.4,615.5,322.2,798.4,380.5,929.4,492.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,right_eye,682.0,245.5,808.8,335.3,1012.4,396.9,1171.0,509.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,nose,583.7,294.2,682.7,423.6,889.6,457.7,1013.3,619.4,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,mouth,559.0,443.1,714.4,548.9,858.8,643.9,1053.0,776.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,forehead,487.0,173.6,852.0,496.0,768.7,307.0,1225.0,710.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,chin,487.0,338.1,849.3,607.3,768.7,512.7,1221.6,849.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,left_cheek,486.5,333.8,583.9,480.5,768.2,507.2,889.9,690.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
10,417,right_cheek,701.7,358.5,821.6,502.4,1037.1,538.1,1187.0,718.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,left_eye,508.2,231.5,615.6,320.8,795.3,379.3,929.6,491.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,right_eye,683.0,244.4,810.8,335.2,1013.7,395.5,1173.5,509.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,nose,583.9,293.1,683.6,422.7,889.9,456.4,1014.5,618.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,mouth,559.3,442.7,711.4,554.1,859.1,643.3,1049.2,782.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,forehead,483.9,173.1,852.0,496.7,764.9,306.4,1225.0,710.9,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,chin,483.9,336.4,849.3,612.0,764.9,510.5,1221.6,855.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,left_cheek,486.1,333.0,583.8,480.9,767.6,506.2,889.7,691.1,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
11,458,right_cheek,701.7,358.4,822.8,504.5,1037.1,538.0,1188.5,720.6,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
12,500,left_eye,507.8,234.0,616.3,322.4,794.8,382.4,930.4,493.0,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
12,500,right_eye,683.4,244.8,811.6,335.4,1014.2,396.0,1174.5,509.2,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
12,500,nose,583.9,294.5,684.2,423.5,889.9,458.1,1015.3,619.3,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
12,500,mouth,559.4,444.3,711.8,562.1,859.3,645.4,1049.8,792.7,mlsiYewUwO0.002.mp4,1280,720,23.976,367,emotional_stability,low
