frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,503.1,254.3,598.2,341.0,788.9,407.9,907.7,516.3,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_eye,653.4,248.3,780.3,337.9,976.7,400.4,1135.3,512.3,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,nose,578.8,310.5,671.4,442.0,883.6,478.2,999.3,642.6,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,mouth,571.8,456.5,720.0,536.8,874.7,660.7,1059.9,761.0,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,forehead,498.2,192.2,838.2,476.4,782.8,330.3,1207.7,685.5,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,chin,509.2,351.8,838.2,592.2,796.5,529.8,1207.7,830.2,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,left_cheek,499.8,355.4,579.8,488.0,784.8,534.3,884.8,700.0,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
0,0,right_cheek,685.0,353.3,803.9,490.7,1016.2,531.6,1164.9,703.4,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
1,33,left_eye,503.0,254.4,598.2,341.2,788.7,408.0,907.7,516.5,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
1,33,right_eye,651.6,248.3,779.8,338.2,974.6,400.3,1134.8,512.8,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
1,33,nose,578.0,310.6,670.4,442.9,882.5,478.3,998.0,643.6,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
1,33,mouth,571.3,456.9,720.1,536.7,874.2,661.1,1060.1,760.9,mq9NNKmKYdk.005.mp4,1280,720,29.97,459,emotional_stability,low
