frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,503.1,210.5,612.9,299.0,788.8,353.1,926.2,463.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,right_eye,666.9,256.1,785.8,339.0,993.6,410.1,1142.2,513.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,nose,566.4,289.0,655.6,403.4,868.0,451.2,979.6,594.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,mouth,536.3,422.5,653.1,509.3,830.3,618.1,976.3,726.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,forehead,446.0,170.1,810.8,491.6,717.5,302.6,1173.5,704.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,chin,446.0,294.3,797.4,569.2,717.5,457.8,1156.8,801.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,left_cheek,459.1,295.5,567.7,437.6,733.9,459.3,869.6,637.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
0,0,right_cheek,673.0,357.9,780.1,492.2,1001.2,537.3,1135.2,705.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,left_eye,502.9,203.1,613.0,292.8,788.6,343.9,926.3,456.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,right_eye,668.3,246.3,787.2,326.9,995.4,397.8,1144.0,498.6,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,nose,568.1,278.2,662.1,396.1,870.1,437.7,987.6,585.1,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,mouth,537.2,416.5,665.6,509.1,831.5,610.7,992.0,726.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,forehead,448.1,158.6,812.9,483.4,720.1,288.2,1176.1,694.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,chin,448.1,292.4,800.2,570.1,720.1,455.5,1160.3,802.6,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,left_cheek,460.7,292.3,568.3,436.6,735.8,455.4,870.3,635.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
1,33,right_cheek,677.2,348.1,783.9,486.1,1006.4,525.1,1139.9,697.6,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,left_eye,502.9,200.6,614.5,288.0,788.6,340.8,928.1,450.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,right_eye,671.3,236.8,789.0,315.2,999.1,386.0,1146.3,484.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,nose,575.1,271.2,669.2,388.9,878.9,429.0,996.5,576.1,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,mouth,544.3,407.9,678.9,511.6,840.4,599.8,1008.6,729.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,forehead,449.8,155.9,817.3,472.5,722.3,284.8,1181.7,680.6,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,chin,449.8,291.3,807.6,570.1,722.3,454.1,1169.5,802.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,left_cheek,465.0,290.9,572.2,436.0,741.2,453.6,875.3,635.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
2,66,right_cheek,683.1,337.3,790.1,476.6,1013.8,511.6,1147.6,685.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,left_eye,499.0,200.8,612.4,286.9,783.8,341.0,925.6,448.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,right_eye,671.3,232.0,788.9,309.9,999.1,380.0,1146.1,477.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,nose,575.2,269.0,671.3,387.9,879.1,426.2,999.1,574.9,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,mouth,546.9,405.7,683.6,517.5,843.6,597.2,1014.5,736.8,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,forehead,452.3,155.6,818.2,464.6,725.3,284.5,1182.8,670.8,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,chin,452.3,291.4,810.6,570.6,725.3,454.2,1173.2,803.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,left_cheek,466.9,291.2,572.3,436.0,743.6,454.0,875.4,635.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
3,100,right_cheek,684.4,332.7,792.4,471.2,1015.5,505.9,1150.5,679.1,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,left_eye,496.4,201.8,611.8,288.4,780.6,342.3,924.7,450.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,right_eye,672.3,232.8,789.2,309.1,1000.4,381.0,1146.5,476.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,nose,578.4,270.4,675.9,388.8,883.0,428.0,1004.8,576.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,mouth,551.5,406.2,690.6,522.8,849.4,597.7,1023.2,743.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,forehead,452.2,157.4,819.0,462.5,725.3,286.8,1183.8,668.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,chin,452.2,295.2,812.6,573.2,725.3,458.9,1175.8,806.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,left_cheek,468.0,294.8,573.8,438.7,745.0,458.5,877.2,638.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
4,133,right_cheek,687.6,332.1,795.1,469.9,1019.5,505.1,1153.9,677.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,left_eye,496.6,207.7,611.6,289.0,780.7,349.6,924.5,451.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,right_eye,674.2,233.8,790.2,309.5,1002.8,382.2,1147.7,476.8,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,nose,582.0,272.2,680.3,390.3,887.5,430.2,1010.3,577.9,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,mouth,556.2,408.0,698.3,525.8,855.2,600.0,1032.9,747.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,forehead,455.5,158.5,820.9,459.7,729.3,288.1,1186.1,664.6,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,chin,455.5,300.1,815.9,573.8,729.3,465.2,1179.9,807.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,left_cheek,471.8,300.6,576.7,442.8,749.8,465.7,880.8,643.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
5,166,right_cheek,690.8,332.5,798.0,469.0,1023.5,505.7,1157.5,676.2,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,left_eye,497.0,219.2,612.3,299.1,781.3,364.1,925.4,463.9,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,right_eye,676.9,236.3,792.8,313.6,1006.1,385.4,1151.0,482.0,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,nose,587.6,277.2,685.8,395.5,894.5,436.5,1017.2,584.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,mouth,562.3,414.3,703.9,533.4,862.9,607.9,1039.9,756.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,forehead,457.0,165.3,823.7,463.6,731.2,296.6,1189.6,669.4,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,chin,457.0,310.1,820.4,579.6,731.2,477.7,1185.5,814.5,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,left_cheek,475.2,311.1,581.3,451.8,753.9,478.9,886.6,654.7,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
6,200,right_cheek,695.4,335.8,802.9,472.2,1029.3,509.7,1163.6,680.3,openness_high1_jSw-grsJCnE.003.mp4,1280,720,30.0,459,openness,high
