frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,518.7,243.9,619.8,327.2,808.4,394.8,934.7,499.0,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,right_eye,670.8,277.9,781.3,350.7,998.5,437.4,1136.6,528.4,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,nose,583.5,313.8,673.5,433.2,889.4,482.3,1001.9,631.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,mouth,557.8,441.7,687.0,513.2,857.2,642.1,1018.8,731.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,forehead,491.6,193.4,799.2,475.0,774.5,331.8,1159.0,683.8,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,chin,491.6,315.2,791.1,565.6,774.5,484.0,1148.9,797.0,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,left_cheek,497.1,323.6,587.0,453.5,781.4,494.5,893.8,656.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
0,0,right_cheek,683.7,369.4,778.3,487.8,1014.6,551.7,1132.9,699.8,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,left_eye,520.6,242.8,622.9,327.2,810.7,393.6,938.6,498.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,right_eye,672.2,278.1,782.4,350.8,1000.2,437.6,1138.0,528.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,nose,585.0,313.7,674.0,433.3,891.2,482.1,1002.5,631.6,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,mouth,558.8,441.2,687.5,512.1,858.4,641.6,1019.4,730.2,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,forehead,493.0,192.7,800.7,473.1,776.3,330.9,1160.9,681.4,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,chin,493.0,312.8,792.2,562.3,776.3,481.0,1150.3,792.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,left_cheek,498.3,322.3,588.4,451.4,782.9,492.9,895.5,654.3,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
1,33,right_cheek,684.7,369.4,779.7,486.9,1015.8,551.8,1134.7,698.6,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,left_eye,523.5,241.8,625.7,326.8,814.4,392.3,942.2,498.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,right_eye,674.4,278.2,784.3,350.8,1003.0,437.8,1140.3,528.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,nose,586.2,313.2,674.5,433.2,892.8,481.5,1003.1,631.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,mouth,560.4,441.0,687.7,511.1,860.5,641.3,1019.6,728.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,forehead,495.6,191.7,802.6,471.7,779.5,329.6,1163.3,679.7,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,chin,495.6,310.2,793.8,560.9,779.5,477.7,1152.2,791.2,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,left_cheek,500.5,320.6,590.2,449.9,785.7,490.7,897.7,652.3,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
2,66,right_cheek,686.0,369.4,781.5,486.6,1017.5,551.8,1136.9,698.3,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,left_eye,526.9,239.8,628.6,325.1,818.6,389.7,945.8,496.3,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,right_eye,677.2,277.9,786.7,350.3,1006.5,437.4,1143.3,527.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,nose,588.4,312.4,676.0,433.2,895.5,480.6,1005.0,631.5,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,mouth,564.3,441.2,687.9,506.4,865.4,641.5,1019.9,722.9,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,forehead,498.7,189.3,805.0,468.5,783.3,326.6,1166.2,675.6,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,chin,498.7,304.8,796.2,555.5,783.3,471.0,1155.2,784.4,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,left_cheek,503.6,317.3,592.8,447.0,789.5,486.6,900.9,648.8,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
3,100,right_cheek,688.0,369.3,783.9,485.6,1020.0,551.6,1139.9,697.0,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
4,133,left_eye,528.1,238.9,629.9,324.3,820.1,388.6,947.3,495.3,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
4,133,right_eye,679.0,277.7,789.9,350.2,1008.8,437.2,1147.3,527.7,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
4,133,nose,589.4,312.3,676.2,433.3,896.7,480.3,1005.2,631.6,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
4,133,mouth,566.9,441.9,688.0,501.9,868.7,642.4,1020.0,717.4,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
4,133,forehead,500.6,188.4,808.2,467.0,785.8,325.5,1170.2,673.8,openness_high5_wAl_Pm7xG3A.001.mp4,1280,720,29.97,459,openness,high
