frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,511.5,253.5,627.7,315.5,799.4,406.8,944.6,484.3,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,right_eye,680.3,270.5,779.4,342.4,1010.4,428.1,1134.2,518.0,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,nose,587.2,304.4,682.2,421.9,894.0,470.5,1012.8,617.4,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,mouth,561.8,441.2,680.6,489.9,862.3,641.5,1010.8,702.3,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,forehead,457.0,191.4,797.7,479.1,731.2,329.2,1157.1,688.8,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,chin,457.0,319.2,788.7,564.3,731.2,489.0,1145.9,795.4,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,left_cheek,481.7,323.1,587.7,455.2,762.1,493.9,894.6,658.9,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
0,0,right_cheek,687.9,363.3,781.4,487.5,1019.9,544.1,1136.7,699.4,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,left_eye,514.8,254.0,627.7,318.0,803.5,407.4,944.6,487.5,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,right_eye,680.9,269.3,781.3,342.5,1011.1,426.7,1136.6,518.1,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,nose,586.5,303.9,679.2,421.8,893.1,469.9,1009.0,617.3,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,mouth,560.9,441.2,679.4,491.2,861.1,641.5,1009.3,704.0,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,forehead,463.2,191.3,806.1,480.2,739.0,329.2,1167.6,690.2,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,chin,463.2,320.7,794.2,562.9,739.0,490.9,1152.8,793.6,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,left_cheek,482.9,324.3,587.1,455.9,763.6,495.4,893.9,659.9,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
1,33,right_cheek,687.7,363.3,783.7,487.8,1019.6,544.1,1139.6,699.7,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
2,66,left_eye,517.2,254.9,627.4,319.8,806.5,408.6,944.2,489.8,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
2,66,right_eye,681.3,268.7,781.8,342.5,1011.7,425.8,1137.3,518.1,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
2,66,nose,584.9,303.7,678.8,421.5,891.2,469.6,1008.5,616.8,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
2,66,mouth,560.5,441.3,678.4,491.3,860.6,641.7,1008.0,704.1,openness_low2_PHv6CzBIC5E.004.mp4,1280,720,30.0,459,openness,low
