frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,517.7,274.6,608.6,354.0,807.2,433.3,920.8,532.5,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,right_eye,649.5,231.2,762.4,321.1,971.9,379.0,1113.0,491.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,nose,600.0,309.5,689.1,418.6,910.0,476.9,1021.3,613.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,mouth,610.3,435.9,723.2,524.9,922.9,634.9,1064.0,746.1,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,forehead,510.4,198.6,815.6,459.3,798.0,338.2,1179.6,664.1,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,chin,535.0,302.3,815.6,558.4,828.7,467.9,1179.6,788.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,left_cheek,528.3,370.0,598.7,482.3,820.4,552.5,908.3,692.9,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
0,0,right_cheek,691.7,312.5,793.7,445.1,1024.7,480.6,1152.1,646.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,left_eye,517.2,274.3,608.6,353.8,806.6,432.9,920.8,532.2,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,right_eye,647.3,231.0,760.5,321.1,969.2,378.7,1110.6,491.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,nose,599.6,308.7,689.5,419.2,909.6,475.9,1021.9,614.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,mouth,610.8,436.8,724.4,524.5,923.6,636.0,1065.6,745.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,forehead,509.6,195.6,815.4,459.4,797.0,334.5,1179.2,664.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,chin,536.6,302.3,815.4,558.1,830.7,467.8,1179.2,787.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,left_cheek,528.4,370.0,598.7,482.9,820.4,552.5,908.3,693.7,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
1,33,right_cheek,691.7,312.6,793.1,446.6,1024.7,480.8,1151.4,648.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,left_eye,516.8,274.4,609.3,354.4,806.0,433.0,921.6,533.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,right_eye,647.2,231.9,760.2,322.4,969.0,379.9,1110.3,493.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,nose,599.6,308.8,691.7,420.8,909.5,475.9,1024.6,615.9,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,mouth,610.8,438.4,724.7,524.5,923.5,638.0,1065.8,745.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,forehead,508.8,195.3,813.5,459.5,796.0,334.1,1176.8,664.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,chin,536.8,302.7,813.5,558.4,831.0,468.3,1176.8,788.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,left_cheek,528.4,370.4,598.7,484.0,820.4,553.0,908.4,695.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
2,66,right_cheek,692.0,313.8,791.4,448.3,1025.0,482.3,1149.3,650.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,left_eye,516.0,275.1,609.5,355.4,805.0,433.8,921.8,534.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,right_eye,647.3,233.8,760.3,324.5,969.1,382.2,1110.4,495.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,nose,599.5,309.6,692.7,423.3,909.4,477.0,1025.9,619.1,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,mouth,610.6,440.6,724.4,524.5,923.3,640.8,1065.5,745.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,forehead,507.9,195.5,811.5,461.5,794.9,334.4,1174.3,666.9,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,chin,536.8,306.0,811.5,559.2,830.9,472.5,1174.3,789.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,left_cheek,528.1,371.6,598.7,485.9,820.1,554.6,908.4,697.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
3,100,right_cheek,692.1,316.9,790.0,450.8,1025.2,486.1,1147.4,653.5,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,left_eye,514.9,275.5,609.5,356.5,803.6,434.4,921.8,535.6,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,right_eye,647.3,234.7,760.3,326.0,969.2,383.4,1110.4,497.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,nose,599.5,310.3,692.6,425.2,909.3,477.9,1025.7,621.5,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,mouth,609.9,442.0,723.3,524.2,922.3,642.5,1064.1,745.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,forehead,506.6,195.6,810.0,463.8,793.2,334.5,1172.5,669.8,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,chin,535.6,309.3,810.0,560.0,829.5,476.6,1172.5,790.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,left_cheek,527.4,372.7,598.7,487.2,819.2,555.8,908.3,699.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
4,133,right_cheek,692.1,319.2,788.7,452.6,1025.1,489.0,1145.8,655.8,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,left_eye,514.0,276.1,609.4,357.2,802.5,435.1,921.7,536.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,right_eye,646.8,235.1,760.2,326.5,968.5,383.9,1110.2,498.1,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,nose,598.9,310.7,692.5,425.4,908.7,478.4,1025.6,621.7,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,mouth,609.0,442.4,722.7,524.0,921.3,642.9,1063.4,745.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,forehead,505.7,195.8,810.2,465.8,792.1,334.8,1172.8,672.3,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,chin,534.7,310.6,810.2,561.6,828.3,478.3,1172.8,792.0,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,left_cheek,526.8,373.6,598.3,487.9,818.5,557.0,907.9,699.9,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
5,166,right_cheek,691.7,319.8,788.3,453.1,1024.7,489.8,1145.4,656.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
6,200,left_eye,513.9,276.1,609.4,357.1,802.4,435.1,921.7,536.4,openness_low4_PWM-bKcs2p8.004.mp4,1280,720,29.97,459,openness,low
