frame,timestamp_ms,aoi_name,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min,screen_y_min,screen_x_max,screen_y_max,video_file,native_width,native_height,fps,total_frames,trait,level
0,0,left_eye,515.5,253.2,606.9,331.4,804.4,418.3,918.6,519.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,right_eye,660.8,240.9,779.0,322.1,986.0,402.4,1133.7,507.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,nose,587.1,299.3,681.9,424.3,893.9,478.2,1012.4,640.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,mouth,578.1,449.3,702.7,512.5,882.6,672.7,1038.4,754.6,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,forehead,504.3,185.0,827.8,468.8,790.4,330.0,1194.7,698.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,chin,507.1,343.6,827.8,570.8,793.8,535.6,1194.7,830.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,left_cheek,506.3,350.9,587.3,483.6,792.9,545.0,894.1,717.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
0,0,right_cheek,690.4,343.7,801.3,482.0,1023.0,535.8,1161.6,715.1,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,left_eye,509.8,251.4,600.4,331.4,797.2,416.0,910.5,519.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,right_eye,654.6,238.6,773.2,321.5,978.2,399.4,1126.5,507.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,nose,583.2,296.3,674.9,422.1,889.0,474.2,1003.7,637.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,mouth,574.7,446.4,701.0,523.5,878.3,668.9,1036.3,768.9,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,forehead,499.5,181.7,818.0,472.1,784.4,325.6,1182.5,702.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,chin,502.4,343.4,818.0,578.4,788.0,535.4,1182.5,840.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,left_cheek,501.5,351.2,582.5,485.4,786.9,545.4,888.1,719.5,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
1,40,right_cheek,684.7,342.4,793.6,481.9,1015.9,534.1,1152.1,715.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,left_eye,505.2,251.3,597.9,331.4,791.6,415.9,907.4,519.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,right_eye,652.1,238.7,772.1,321.0,975.1,399.6,1125.1,506.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,nose,580.9,295.8,671.6,421.8,886.1,473.5,999.5,637.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,mouth,571.9,446.2,699.6,526.5,874.9,668.7,1034.5,772.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,forehead,496.1,180.2,817.4,474.5,780.1,323.7,1181.7,705.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,chin,499.2,343.4,817.4,585.1,784.0,535.3,1181.7,848.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,left_cheek,497.7,351.6,579.9,487.7,782.1,546.0,884.9,722.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
2,80,right_cheek,682.2,341.9,792.4,482.8,1012.7,533.3,1150.5,716.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,left_eye,505.4,250.7,599.1,330.9,791.7,415.1,908.9,519.1,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,right_eye,653.3,238.5,772.9,320.6,976.6,399.3,1126.1,505.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,nose,581.6,294.6,673.3,419.2,886.9,472.1,1001.6,633.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,mouth,571.4,443.0,701.5,527.3,874.3,664.5,1036.9,773.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,forehead,495.0,180.1,818.0,475.7,778.8,323.5,1182.5,706.9,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,chin,496.8,343.7,818.0,587.4,781.0,535.7,1182.5,851.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,left_cheek,497.3,351.6,580.6,488.0,781.7,546.0,885.7,722.9,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
3,120,right_cheek,683.4,341.7,793.4,483.3,1014.2,533.1,1151.7,716.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,left_eye,504.1,249.7,599.3,330.5,790.1,413.8,909.2,518.6,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,right_eye,653.9,238.1,772.4,320.2,977.3,398.8,1125.5,505.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,nose,582.0,293.7,674.3,417.1,887.4,470.9,1002.8,631.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,mouth,570.4,440.7,701.6,525.6,873.0,661.6,1037.0,771.5,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,forehead,490.3,179.9,815.9,476.6,772.9,323.3,1179.9,708.1,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,chin,491.7,343.7,815.9,586.8,774.7,535.8,1179.9,851.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,left_cheek,495.4,351.6,580.6,488.1,779.3,545.9,885.8,723.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
4,160,right_cheek,683.8,341.3,792.2,483.3,1014.8,532.6,1150.2,716.8,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,left_eye,504.7,248.3,599.4,328.8,790.9,412.0,909.3,516.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,right_eye,655.6,237.7,772.7,319.4,979.5,398.2,1125.9,504.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,nose,584.1,292.0,678.7,414.6,890.1,468.7,1008.4,627.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,mouth,570.7,438.0,703.5,524.4,873.4,658.0,1039.4,770.1,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,forehead,489.1,179.3,814.9,477.6,771.3,322.6,1178.6,709.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,chin,490.3,344.6,814.9,587.7,772.9,536.8,1178.6,852.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,left_cheek,495.8,350.3,581.1,487.9,779.7,544.3,886.4,722.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
5,200,right_cheek,685.6,340.9,792.7,483.3,1017.0,532.1,1150.9,716.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,left_eye,505.3,246.7,602.0,327.3,791.6,409.9,912.5,514.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,right_eye,659.2,237.5,774.4,318.8,984.0,398.0,1127.9,503.4,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,nose,586.7,291.1,682.6,414.1,893.3,467.5,1013.3,627.0,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,mouth,571.0,436.7,705.6,523.8,873.7,656.3,1042.0,769.3,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,forehead,490.1,178.9,815.5,478.2,772.6,322.0,1179.4,710.2,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,chin,491.3,346.0,815.5,589.3,774.1,538.8,1179.4,854.3,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
6,240,left_cheek,496.5,349.0,583.3,487.9,780.6,542.6,889.2,722.7,oxw3nT9LSsg.000.mp4,1280,694,25.0,383,extraversion,low
