video,base_video,trait,level,identity,assigned_trait_score,extraversion_score,agreeableness_score,conscientiousness_score,emotional_stability_score,openness_score
extraversion_high1_84emxO86qa8.005.mp4,84emxO86qa8.005.mp4,extraversion,high,84emxO86qa8,0.9252,0.9252,0.9011,0.9126,0.0417,0.9222
extraversion_high2_As93GgkTdt4.004.mp4,As93GgkTdt4.004.mp4,extraversion,high,As93GgkTdt4,0.9159,0.9159,0.8791,0.8058,0.1146,0.8111
extraversion_high3_fBMKlYUjA9E.003.mp4,fBMKlYUjA9E.003.mp4,extraversion,high,fBMKlYUjA9E,0.9159,0.9159,0.7582,0.6699,0.0833,0.9556
extraversion_high4_FxVUG2R1y0Q.004.mp4,FxVUG2R1y0Q.004.mp4,extraversion,high,FxVUG2R1y0Q,0.8785,0.8785,0.8352,0.8544,0.1042,0.8
extraversion_high5_E6rptSS3kP4.000.mp4,E6rptSS3kP4.000.mp4,extraversion,high,E6rptSS3kP4,0.8692,0.8692,0.8352,0.699,0.1562,0.9444
extraversion_low1_8hW6WfYBP18.001.mp4,8hW6WfYBP18.001.mp4,extraversion,low,8hW6WfYBP18,0.0467,0.0467,0.2637,0.4272,0.7188,0.2556
extraversion_low2_oxw3nT9LSsg.000.mp4,oxw3nT9LSsg.000.mp4,extraversion,low,oxw3nT9LSsg,0.0187,0.0187,0.022,0.0583,0.9062,0.1333
extraversion_low3_-fXqnCljdm0.003.mp4,-fXqnCljdm0.003.mp4,extraversion,low,-fXqnCljdm0,0.0187,0.0187,0.1538,0.0485,0.9792,0.1889
extraversion_low4_3zAyM2edy1g.004.mp4,3zAyM2edy1g.004.mp4,extraversion,low,3zAyM2edy1g,0.0374,0.0374,0.2308,0.3592,0.8333,0.1111
extraversion_low5_PHv6CzBIC5E.004.mp4,PHv6CzBIC5E.004.mp4,extraversion,low,PHv6CzBIC5E,0.0374,0.0374,0.2088,0.1553,0.9271,0.0333
agreeableness_high1_l3RE0rN7oEg.003.mp4,l3RE0rN7oEg.003.mp4,agreeableness,high,l3RE0rN7oEg,1.0,0.8318,1.0,0.7573,0.1354,0.8
agreeableness_high2_KGRUaRe3r7I.001.mp4,KGRUaRe3r7I.001.mp4,agreeableness,high,KGRUaRe3r7I,0.9341,0.7477,0.9341,0.7767,0.1979,0.8444
agreeableness_high3_VZ6jhnbk-5g.004.mp4,VZ6jhnbk-5g.004.mp4,agreeableness,high,VZ6jhnbk-5g,0.9231,0.8318,0.9231,0.8155,0.2813,0.8
agreeableness_high4_MvWDky9ZaWU.000.mp4,MvWDky9ZaWU.000.mp4,agreeableness,high,MvWDky9ZaWU,0.9231,0.5981,0.9231,0.8641,0.1562,0.8556
agreeableness_high5_7QeVs-mXmcI.003.mp4,7QeVs-mXmcI.003.mp4,agreeableness,high,7QeVs-mXmcI,0.9121,0.8505,0.9121,0.8738,0.0417,0.9333
agreeableness_low1_1RMdiCbNNh4.003.mp4,1RMdiCbNNh4.003.mp4,agreeableness,low,1RMdiCbNNh4,0.0,0.1869,0.0,0.2136,0.7292,0.5333
agreeableness_low2_DTZeyoKUPx4.005.mp4,DTZeyoKUPx4.005.mp4,agreeableness,low,DTZeyoKUPx4,0.0769,0.1308,0.0769,0.0388,0.9167,0.1222
agreeableness_low3_NBacfF-K2eQ.004.mp4,NBacfF-K2eQ.004.mp4,agreeableness,low,NBacfF-K2eQ,0.0879,0.2523,0.0879,0.1942,0.8958,0.1889
agreeableness_low4_7UQt8QB3cQY.004.mp4,7UQt8QB3cQY.004.mp4,agreeableness,low,7UQt8QB3cQY,0.0879,0.215,0.0879,0.2039,0.8229,0.4778
agreeableness_low5_TmyDT-HC3qI.001.mp4,TmyDT-HC3qI.001.mp4,agreeableness,low,TmyDT-HC3qI,0.0879,0.215,0.0879,0.3301,0.7292,0.5444
conscientiousness_high1_OLFhKCgexRU.000.mp4,OLFhKCgexRU.000.mp4,conscientiousness,high,OLFhKCgexRU,0.9709,0.6916,0.7582,0.9709,0.0521,0.9
conscientiousness_high2_jjFzwsootdM.000.mp4,jjFzwsootdM.000.mp4,conscientiousness,high,jjFzwsootdM,0.9709,0.757,0.8791,0.9709,0.0208,0.8667
conscientiousness_high3_8gvBbE6iZNo.005.mp4,8gvBbE6iZNo.005.mp4,conscientiousness,high,8gvBbE6iZNo,0.9515,0.4019,0.6154,0.9515,0.3333,0.5333
conscientiousness_high4_UWVOT3YPQH4.001.mp4,UWVOT3YPQH4.001.mp4,conscientiousness,high,UWVOT3YPQH4,0.9515,0.6636,0.7033,0.9515,0.2188,0.7111
