video,trait,level,score
_kK9tGN883Y.000.mp4,extraversion,low,0.0
oxw3nT9LSsg.000.mp4,extraversion,low,0.01869158878504674
-fXqnCljdm0.003.mp4,extraversion,low,0.01869158878504674
3zAyM2edy1g.004.mp4,extraversion,low,0.037383177570093414
PHv6CzBIC5E.004.mp4,extraversion,low,0.037383177570093414
84emxO86qa8.005.mp4,extraversion,high,0.9252336448598131
fBMKlYUjA9E.003.mp4,extraversion,high,0.9158878504672898
As93GgkTdt4.004.mp4,extraversion,high,0.9158878504672898
84emxO86qa8.001.mp4,extraversion,high,0.897196261682243
FxVUG2R1y0Q.004.mp4,extraversion,high,0.8785046728971965
1RMdiCbNNh4.003.mp4,agreeableness,low,0.0
oxw3nT9LSsg.000.mp4,agreeableness,low,0.021978021978022
_kK9tGN883Y.000.mp4,agreeableness,low,0.054945054945054916
PHv6CzBIC5E.001.mp4,agreeableness,low,0.06593406593406592
DTZeyoKUPx4.005.mp4,agreeableness,low,0.07692307692307691
l3RE0rN7oEg.003.mp4,agreeableness,high,1.0
KGRUaRe3r7I.001.mp4,agreeableness,high,0.934065934065934
MvWDky9ZaWU.000.mp4,agreeableness,high,0.923076923076923
VZ6jhnbk-5g.004.mp4,agreeableness,high,0.923076923076923
4T9UUWWRE94.000.mp4,agreeableness,high,0.912087912087912
iJGHwoJKEpA.002.mp4,conscientiousness,low,0.0
DTZeyoKUPx4.005.mp4,conscientiousness,low,0.03883495145631067
Jv2lyDcOmEM.002.mp4,conscientiousness,low,0.03883495145631067
-fXqnCljdm0.003.mp4,conscientiousness,low,0.04854368932038835
oxw3nT9LSsg.000.mp4,conscientiousness,low,0.058252427184466035
jjFzwsootdM.000.mp4,conscientiousness,high,0.970873786407767
OLFhKCgexRU.000.mp4,conscientiousness,high,0.970873786407767
IMCEXoAkZv4.005.mp4,conscientiousness,high,0.9514563106796118
IzKWDY_QNTU.000.mp4,conscientiousness,high,0.9514563106796118
UWVOT3YPQH4.001.mp4,conscientiousness,high,0.9514563106796118
jjFzwsootdM.000.mp4,emotional_stability,low,0.02083333333333337
7QeVs-mXmcI.003.mp4,emotional_stability,low,0.04166666666666663
84emxO86qa8.005.mp4,emotional_stability,low,0.04166666666666663
OLFhKCgexRU.000.mp4,emotional_stability,low,0.05208333333333337
f8eU5Pc-y0g.004.mp4,emotional_stability,low,0.05208333333333337
-fXqnCljdm0.003.mp4,emotional_stability,high,0.9791666666666666
69BopbFc34U.000.mp4,emotional_stability,high,0.96875
_kK9tGN883Y.000.mp4,emotional_stability,high,0.96875
PHv6CzBIC5E.001.mp4,emotional_stability,high,0.96875
ZIk7N-xHvF4.002.mp4,emotional_stability,high,0.9583333333333334
PHv6CzBIC5E.001.mp4,openness,low,0.0
PHv6CzBIC5E.004.mp4,openness,low,0.033333333333333326
3zAyM2edy1g.004.mp4,openness,low,0.11111111111111116
PWM-bKcs2p8.004.mp4,openness,low,0.11111111111111116
DTZeyoKUPx4.005.mp4,openness,low,0.12222222222222226
jSw-grsJCnE.003.mp4,openness,high,1.0
3S8QUGYVf_w.003.mp4,openness,high,0.9777777777777777
h9jIdLBaMEo.002.mp4,openness,high,0.9777777777777777
BmDClgdWlH4.002.mp4,openness,high,0.9777777777777777
wAl_Pm7xG3A.001.mp4,openness,high,0.9666666666666666
